,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 3 AOÛT 2022,07,TIRAGE «FORTUNE» N°735,71,26,53,02
1,MERCREDI 3 AOÛT 2022,14,TIRAGE «FORTUNE» NUMEROS MACHINE N°735,09,68,72,76
2,MERCREDI 3 AOÛT 2022,24,TIRAGE «PREMIERE HEURE» N°206,33,09,04,35
3,MERCREDI 3 AOÛT 2022,22,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°206,42,57,21,87
4,MARDI 2 AOÛT 2022,80,TIRAGE « LUCKY TUESDAY » N°776,51,14,57,55
5,MARDI 2 AOÛT 2022,38,TIRAGE «SIKA» NUMEROS MACHINE N°187,56,61,37,02
6,MARDI 2 AOÛT 2022,88,TIRAGE «SIKA» N°187,85,86,78,01
7,MARDI 2 AOÛT 2022,06,TIRAGE « EMERGENCE » NUMEROS MACHINE N°327,02,18,21,79
8,MARDI 2 AOÛT 2022,30,TIRAGE « EMERGENCE » N°327,12,57,62,45
9,MARDI 2 AOÛT 2022,80,TIRAGE « LA MATINALE » NUMEROS MACHINE N°206,61,86,20,15
10,MARDI 2 AOÛT 2022,17,TIRAGE « LA MATINALE » N°206,14,90,03,77
11,LUNDI 1 AOÛT 2022,07,TIRAGE «AKWABA» NUMEROS MACHINE N°187,11,14,31,12
