,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 25 MARS 2022,65,TIRAGE « FRIDAY BONANZA» N° 730,84,25,02,19
1,VENDREDI 25 MARS 2022,74,TIRAGE « WARI » NUMEROS MACHINE N°168,20,21,70,25
2,VENDREDI 25 MARS 2022,15,TIRAGE « WARI » N°168,48,36,37,13
3,VENDREDI 25 MARS 2022,45,TIRAGE « SOLUTION » NUMEROS MACHINE N°308,44,49,84,48
4,VENDREDI 25 MARS 2022,56,TIRAGE « SOLUTION » N°308,18,81,66,75
5,VENDREDI 25 MARS 2022,56,TIRAGE «CASH» NUMEROS MACHINE N°188,12,21,70,38
6,VENDREDI 25 MARS 2022,90,TIRAGE «CASH» N°188,37,19,25,01
7,JEUDI 24 MARS 2022,35,TIRAGE «MONNI» NUMEROS MACHINE N°168,61,30,71,74
8,JEUDI 24 MARS 2022,89,TIRAGE « FORTUNE THURSDAY» N°758,46,11,49,17
9,JEUDI 24 MARS 2022,12,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°308,02,73,08,28
10,JEUDI 24 MARS 2022,34,TIRAGE «MONNI» N°168,46,72,41,02
11,JEUDI 24 MARS 2022,14,TIRAGE «KADO» NUMEROS MACHINE N°186,31,48,66,30
