,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 22 MARS 2022,71,TIRAGE « EMERGENCE » N°308,38,13,06,23
1,MARDI 22 MARS 2022,17,TIRAGE « EMERGENCE » NUMEROS MACHINE N°308,69,14,83,78
2,MARDI 22 MARS 2022,30,TIRAGE « LA MATINALE » N°187,46,16,45,75
3,MARDI 22 MARS 2022,88,TIRAGE « LA MATINALE » NUMEROS MACHINE N°187,86,05,53,58
4,LUNDI 21 MARS 2022,07,TIRAGE «AKWABA» N°168,63,65,16,57
5,LUNDI 21 MARS 2022,59,TIRAGE «AKWABA» NUMEROS MAHINE N°168,83,08,54,46
6,LUNDI 21 MARS 2022,70,TIRAGE «ETOILE» N°307,12,46,18,39
7,LUNDI 21 MARS 2022,32,TIRAGE «ETOILE» NUMEROS MACHINE N°307,63,06,72,08
8,LUNDI 21 MARS 2022,65,TIRAGE «REVEIL» N°187,87,31,05,56
9,LUNDI 21 MARS 2022,29,TIRAGE «REVEIL» NUMEROS MACHINE N°187,42,57,89,12
10,DIMANCHE 20 MARS 2022,21,TIRAGE «ESPOIR» N°204,07,01,03,48
11,DIMANCHE 20 MARS 2022,61,TIRAGE «ESPOIR» NUMEROS MACHINE N°204,33,53,65,46
