,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 23 NOVEMBRE 2022,68,TIRAGE «FORTUNE» N°751,33,58,12,79
1,MERCREDI 23 NOVEMBRE 2022,30,TIRAGE «FORTUNE» NUMEROS MACHINE N°751,01,20,34,78
2,MERCREDI 23 NOVEMBRE 2022,21,TIRAGE «PREMIERE HEURE» N°222,82,64,02,18
3,MERCREDI 23 NOVEMBRE 2022,65,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°222,68,46,19,35
4,MARDI 22 NOVEMBRE 2022,54,TIRAGE « LUCKY TUESDAY » N°792,88,53,11,71
5,MARDI 22 NOVEMBRE 2022,25,TIRAGE «SIKA» NUMEROS MACHINE N°203,62,82,28,26
6,MARDI 22 NOVEMBRE 2022,09,TIRAGE «SIKA» N°203,48,37,40,51
7,MARDI 22 NOVEMBRE 2022,29,TIRAGE « EMERGENCE » NUMEROS MACHINE N°343,69,56,38,54
8,MARDI 22 NOVEMBRE 2022,08,TIRAGE « EMERGENCE » N°343,85,47,55,01
9,MARDI 22 NOVEMBRE 2022,38,TIRAGE « LA MATINALE » NUMEROS MACHINE N°222,46,16,30,10
10,MARDI 22 NOVEMBRE 2022,21,TIRAGE « LA MATINALE » N°222,76,43,57,75
11,LUNDI 21 NOVEMBRE 2022,33,TIRAGE «AKWABA» NUMEROS MACHINE N°203,75,53,30,22
