,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 22 JUIN 2022,51,TIRAGE «PREMIERE HEURE» N°200,69,28,06,33
1,MERCREDI 22 JUIN 2022,14,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°200,79,22,80,59
2,MARDI 21 JUIN 2022,89,TIRAGE «SIKA» N°181,06,24,14,79
3,MARDI 21 JUIN 2022,74,TIRAGE «SIKA» NUMEROS MACHINE N°181,46,02,45,64
4,MARDI 21 JUIN 2022,06,TIRAGE « EMERGENCE » N°321,27,87,32,82
5,MARDI 21 JUIN 2022,11,TIRAGE « EMERGENCE » NUMEROS MACHINE N°321,84,38,39,14
6,MARDI 21 JUIN 2022,82,TIRAGE « LA MATINALE » N°200,28,67,53,59
7,MARDI 21 JUIN 2022,28,TIRAGE « LA MATINALE » NUMEROS MACHINE N°200,86,68,40,31
8,LUNDI 20 JUIN 2022,66,TIRAGE «MONDAY SPECIAL» N°835,22,86,75,40
9,LUNDI 20 JUIN 2022,89,TIRAGE «AKWABA» NUMEROS MACHINE N°181,31,26,55,27
10,LUNDI 20 JUIN 2022,69,TIRAGE «AKWABA» N°181,49,53,81,51
11,LUNDI 20 JUIN 2022,15,TIRAGE «ETOILE» NUMEROS MACHINE N°320,16,37,01,47
