,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 31 MARS 2022,78,TIRAGE « FORTUNE THURSDAY» N°759,89,30,34,79
1,JEUDI 31 MARS 2022,65,TIRAGE «MONNI» NUMEROS MACHINE N°169,37,47,88,23
2,JEUDI 31 MARS 2022,46,TIRAGE «MONNI» N°169,35,10,38,06
3,JEUDI 31 MARS 2022,48,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°309,71,09,61,16
4,JEUDI 31 MARS 2022,44,TIRAGE «PRIVILEGE» N°309,36,81,76,54
5,JEUDI 31 MARS 2022,05,TIRAGE «KADO» NUMEROS MACHINE N°187,27,02,73,24
6,JEUDI 31 MARS 2022,71,TIRAGE «KADO» N°187,55,83,52,51
7,MERCREDI 30 MARS 2022,50,TIRAGE «BARAKA» NUMEROS MACHINE N°169,73,56,62,28
8,MERCREDI 30 MARS 2022,87,TIRAGE « MID WEEK » N°956,54,43,90,51
9,MERCREDI 30 MARS 2022,04,TIRAGE «FORTUNE» NUMEROS MACHINE N°717,62,07,19,53
10,MERCREDI 30 MARS 2022,32,TIRAGE «BARAKA» N°169,69,40,45,78
11,MERCREDI 30 MARS 2022,65,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°188,73,45,85,21
