,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 24 MARS 2022,34,TIRAGE «MONNI» N°168,46,72,41,02
1,JEUDI 24 MARS 2022,35,TIRAGE «MONNI» NUMEROS MACHINE N°168,61,30,71,74
2,JEUDI 24 MARS 2022,25,TIRAGE «PRIVILEGE» N°308,37,66,22,46
3,JEUDI 24 MARS 2022,12,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°308,02,73,08,28
4,JEUDI 24 MARS 2022,78,TIRAGE «KADO» N°186,74,41,59,72
5,JEUDI 24 MARS 2022,14,TIRAGE «KADO» NUMEROS MACHINE N°186,31,48,66,30
6,MERCREDI 23 MARS 2022,60,TIRAGE «BARAKA» N°168,57,31,52,12
7,MERCREDI 23 MARS 2022,58,TIRAGE «BARAKA» NUMEROS MACHINE N°168,37,75,22,19
8,MERCREDI 23 MARS 2022,22,TIRAGE «FORTUNE» N°716,18,58,73,74
9,MERCREDI 23 MARS 2022,42,TIRAGE «FORTUNE» NUMEROS MACHINE N°716,24,51,70,38
10,MERCREDI 23 MARS 2022,11,TIRAGE «PREMIERE HEURE» N°187,59,79,64,67
11,MERCREDI 23 MARS 2022,36,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°187,38,70,41,51
