,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 20 MARS 2022,14,TIRAGE «BENEDICTION» N°187,78,68,34,87
1,DIMANCHE 20 MARS 2022,11,TIRAGE «BENEDICTION» NUMEROS MARCHINE N°187,52,70,30,03
2,SAMEDI 19 MARS 2022,61,TIRAGE «SATURDAY NATIONAL » N°3100,46,57,76,27
3,SAMEDI 19 MARS 2022,66,TIRAGE « MOAYE » NUMEROS MACHINE N°167,24,18,34,48
4,SAMEDI 19 MARS 2022,65,TIRAGE « MOAYE » N°167,17,86,53,57
5,SAMEDI 19 MARS 2022,26,TIRAGE « DIAMANT» NUMEROS MACHINE N°716,32,84,55,07
6,SAMEDI 19 MARS 2022,66,TIRAGE « DIAMANT» N°716,68,21,28,62
7,SAMEDI 19 MARS 2022,07,TIRAGE « SOUTRA» NUMEROS MACHINE N°187,79,58,71,51
8,SAMEDI 19 MARS 2022,78,TIRAGE « SOUTRA» N°187,82,01,22,87
9,VENDREDI 18 MARS 2022,47,TIRAGE « WARI » NUMEROS MACHINE N°167,36,09,71,03
10,VENDREDI 18 MARS 2022,50,TIRAGE « WARI » N°167,13,06,14,65
11,VENDREDI 18 MARS 2022,50,TIRAGE « SOLUTION » NUMEROS MACHINE N°307,47,24,10,21
