,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 21 MARS 2022,70,TIRAGE «ETOILE» N°307,12,46,18,39
1,LUNDI 21 MARS 2022,32,TIRAGE «ETOILE» NUMEROS MACHINE N°307,63,06,72,08
2,LUNDI 21 MARS 2022,65,TIRAGE «REVEIL» N°187,87,31,05,56
3,LUNDI 21 MARS 2022,29,TIRAGE «REVEIL» NUMEROS MACHINE N°187,42,57,89,12
4,DIMANCHE 20 MARS 2022,21,TIRAGE «ESPOIR» N°204,07,01,03,48
5,DIMANCHE 20 MARS 2022,61,TIRAGE «ESPOIR» NUMEROS MACHINE N°204,33,53,65,46
6,DIMANCHE 20 MARS 2022,17,TIRAGE «AWALE» N°167,63,67,39,31
7,DIMANCHE 20 MARS 2022,29,TIRAGE «AWALE» NUMEROS MACHINE N°167,11,83,79,37
8,DIMANCHE 20 MARS 2022,14,TIRAGE «BENEDICTION» N°187,78,68,34,87
9,DIMANCHE 20 MARS 2022,11,TIRAGE «BENEDICTION» NUMEROS MARCHINE N°187,52,70,30,03
10,SAMEDI 19 MARS 2022,61,TIRAGE «SATURDAY NATIONAL » N°3100,46,57,76,27
11,SAMEDI 19 MARS 2022,66,TIRAGE « MOAYE » NUMEROS MACHINE N°167,24,18,34,48
