,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 9 FÉVRIER 2022,30,TIRAGE « MID WEEK » N°949,64,13,62,78
1,MERCREDI 9 FÉVRIER 2022,10,TIRAGE «BARAKA» NUMEROS MACHINE N°162,41,45,27,26
2,MERCREDI 9 FÉVRIER 2022,70,TIRAGE «BARAKA» N°162,59,11,15,16
3,MERCREDI 9 FÉVRIER 2022,01,TIRAGE «FORTUNE» NUMEROS MACHINE N°710,25,71,88,86
4,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «FORTUNE» N°710,27,48,39,09
5,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°181,44,78,83,90
6,MERCREDI 9 FÉVRIER 2022,52,TIRAGE «PREMIERE HEURE» N°181,55,42,38,87
7,MARDI 8 FÉVRIER 2022,66,TIRAGE «SIKA» NUMEROS MACHINE N°162,23,39,42,10
8,MARDI 8 FÉVRIER 2022,16,TIRAGE «SIKA» N°162,58,85,61,74
9,MARDI 8 FÉVRIER 2022,01,TIRAGE « EMERGENCE » NUMEROS MACHINE N°302,66,89,48,46
10,MARDI 8 FÉVRIER 2022,79,TIRAGE « EMERGENCE » N°302,81,15,41,64
11,MARDI 8 FÉVRIER 2022,82,TIRAGE « LA MATINALE » NUMEROS MACHINE N°181,54,43,55,77
