,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 30 AVRIL 2022,59,TIRAGE « MOAYE » N°173,84,63,35,14
1,SAMEDI 30 AVRIL 2022,86,TIRAGE « MOAYE » NUMEROS MACHINE N°173,02,44,51,41
2,SAMEDI 30 AVRIL 2022,69,TIRAGE « DIAMANT» N°722,62,06,12,83
3,SAMEDI 30 AVRIL 2022,37,TIRAGE « DIAMANT» N°722,77,63,76,09
4,SAMEDI 30 AVRIL 2022,25,TIRAGE « SOUTRA» N°193,47,18,32,85
5,SAMEDI 30 AVRIL 2022,16,TIRAGE « SOUTRA» NUMEROS MACHINE N°193,39,63,74,69
6,VENDREDI 29 AVRIL 2022,89,TIRAGE « WARI » N°173,09,62,12,51
7,VENDREDI 29 AVRIL 2022,81,TIRAGE « WARI » NUMEROS MACHINE N°173,03,07,30,90
8,VENDREDI 29 AVRIL 2022,36,TIRAGE « SOLUTION » N°313,63,59,64,73
9,VENDREDI 29 AVRIL 2022,72,TIRAGE « SOLUTION » NUMEROS MACHINE N°313,56,89,67,11
10,VENDREDI 29 AVRIL 2022,25,TIRAGE «CASH» N°193,59,05,57,11
11,VENDREDI 29 AVRIL 2022,21,TIRAGE «CASH» NUMEROS MACHINE N°193,58,42,17,03
