Unnamed: 0,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
4,JEUDI 3 FÉVRIER 2022,29,TIRAGE «MONNI» N°161,14,33,25,81
5,JEUDI 3 FÉVRIER 2022,84,TIRAGE «MONNI» NUMEROS MACHINE N°161,90,37,8,63
6,JEUDI 3 FÉVRIER 2022,25,TIRAGE «PRIVILEGE» N°301,57,2,49,50
7,JEUDI 3 FÉVRIER 2022,10,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°301,43,29,15,88
8,JEUDI 3 FÉVRIER 2022,49,TIRAGE «KADO» N°179,62,7,87,3
9,JEUDI 3 FÉVRIER 2022,89,TIRAGE «KADO» NUMEROS MACHINE N°179,90,57,67,41
10,MERCREDI 2 FÉVRIER 2022,66,« MID WEEK » N°948,22,7,54,44
11,MERCREDI 2 FÉVRIER 2022,54,TIRAGE «BARAKA» N°161,59,22,72,21
0,MERCREDI 9 FÉVRIER 2022,30,TIRAGE « MID WEEK » N°949,64,13,62,78
1,MERCREDI 9 FÉVRIER 2022,10,TIRAGE «BARAKA» NUMEROS MACHINE N°162,41,45,27,26
2,MERCREDI 9 FÉVRIER 2022,70,TIRAGE «BARAKA» N°162,59,11,15,16
3,MERCREDI 9 FÉVRIER 2022,1,TIRAGE «FORTUNE» NUMEROS MACHINE N°710,25,71,88,86
4,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «FORTUNE» N°710,27,48,39,9
5,MERCREDI 9 FÉVRIER 2022,43,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°181,44,78,83,90
6,MERCREDI 9 FÉVRIER 2022,52,TIRAGE «PREMIERE HEURE» N°181,55,42,38,87
7,MARDI 8 FÉVRIER 2022,66,TIRAGE «SIKA» NUMEROS MACHINE N°162,23,39,42,10
8,MARDI 8 FÉVRIER 2022,16,TIRAGE «SIKA» N°162,58,85,61,74
9,MARDI 8 FÉVRIER 2022,1,TIRAGE « EMERGENCE » NUMEROS MACHINE N°302,66,89,48,46
10,MARDI 8 FÉVRIER 2022,79,TIRAGE « EMERGENCE » N°302,81,15,41,64
11,MARDI 8 FÉVRIER 2022,82,TIRAGE « LA MATINALE » NUMEROS MACHINE N°181,54,43,55,77
0,LUNDI 7 FÉVRIER 2022,79,TIRAGE «AKWABA» N°162,80,69,11,35
1,LUNDI 7 FÉVRIER 2022,62,TIRAGE «AKWABA» NUMEROS MACHINE N°162,39,41,90,87
2,LUNDI 7 FÉVRIER 2022,86,TIRAGE «ETOILE» N°301,7,21,40,84
3,LUNDI 7 FÉVRIER 2022,87,TIRAGE «ETOILE» NUMEROS MACHINE N°301,51,22,52,4
4,LUNDI 7 FÉVRIER 2022,83,TIRAGE «REVEIL» N°181,54,23,19,55
5,LUNDI 7 FÉVRIER 2022,65,TIRAGE «REVEIL» NUMEROS MACHINE N°181,90,43,41,58
6,DIMANCHE 6 FÉVRIER 2022,23,TIRAGE «PRESTIGE» N°229,67,19,78,55
7,DIMANCHE 6 FÉVRIER 2022,9,TIRAGE «PRESTIGE» NUMEROS MACHINE N°229,16,41,12,65
8,DIMANCHE 6 FÉVRIER 2022,60,TIRAGE «BENEDICTION» N°181,22,48,54,69
9,DIMANCHE 6 FÉVRIER 2022,24,TIRAGE «BENEDICTION» NUMEROS MACHINE N°181,77,62,10,79
10,DIMANCHE 6 FÉVRIER 2022,60,TIRAGE «BENEDICTION» N°181,22,48,54,69
11,DIMANCHE 6 FÉVRIER 2022,24,TIRAGE «BENEDICTION» NUMEROS MACHINE N°181,77,62,10,79
0,MERCREDI 23 FÉVRIER 2022,78,TIRAGE «BARAKA» N°164,8,62,86,5
1,MERCREDI 23 FÉVRIER 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°164,30,46,39,12
2,MERCREDI 23 FÉVRIER 2022,36,TIRAGE «FORTUNE» N°712,10,49,76,2
3,MERCREDI 23 FÉVRIER 2022,15,TIRAGE «FORTUNE» NUMEROS MACHINE N°712,60,13,64,87
4,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
5,MERCREDI 23 FÉVRIER 2022,58,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°183,66,65,86,76
6,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
7,MARDI 22 FÉVRIER 2022,77,TIRAGE «SIKA» NUMEROS MACHINE N°164,31,41,59,17
8,MARDI 22 FÉVRIER 2022,54,TIRAGE « LUCKY TUESDAY » N°754,78,6,83,1
9,MARDI 22 FÉVRIER 2022,37,TIRAGE « EMERGENCE » NUMEROS MACHINE N°304,16,44,75,81
10,MARDI 22 FÉVRIER 2022,12,TIRAGE «SIKA» N°164,70,58,79,10
11,MARDI 22 FÉVRIER 2022,74,TIRAGE « LA MATINALE » NUMEROS MACHINE N°183,26,80,9,77
0,SAMEDI 5 FÉVRIER 2022,80,TIRAGE « SOUTRA» N°181,32,59,62,50
1,SAMEDI 5 FÉVRIER 2022,13,TIRAGE « SOUTRA» NUMEROS MACHINE N°181,24,74,67,65
2,VENDREDI 4 FÉVRIER 2022,47,TIRAGE « FRIDAY BONANZA» N° 723,8,32,12,77
3,VENDREDI 4 FÉVRIER 2022,22,TIRAGE « WARI » NUMEROS MACHINE N°161,14,77,58,60
4,VENDREDI 4 FÉVRIER 2022,34,TIRAGE « WARI » N°161,68,1,19,47
5,VENDREDI 4 FÉVRIER 2022,33,TIRAGE « SOLUTION » NUMEROS MACHINE N°301,18,27,4,22
6,VENDREDI 4 FÉVRIER 2022,67,TIRAGE « SOLUTION » N°301,63,58,31,19
7,VENDREDI 4 FÉVRIER 2022,16,TIRAGE «CASH» NUMEROS MACHINE N°181,33,46,9,22
8,VENDREDI 4 FÉVRIER 2022,5,TIRAGE «CASH» N°181,87,27,88,31
9,JEUDI 3 FÉVRIER 2022,84,TIRAGE «MONNI» NUMEROS MACHINE N°161,90,37,8,63
10,JEUDI 3 FÉVRIER 2022,29,TIRAGE «MONNI» N°161,14,33,25,81
11,JEUDI 3 FÉVRIER 2022,10,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°301,43,29,15,88
0,JEUDI 24 FÉVRIER 2022,8,TIRAGE «KADO» N°182,29,32,43,33
1,JEUDI 24 FÉVRIER 2022,83,TIRAGE «KADO» NUMEROS MACHINE N°182,50,68,58,86
2,MERCREDI 23 FÉVRIER 2022,20,TIRAGE « MID WEEK » N°951,39,49,41,54
3,MERCREDI 23 FÉVRIER 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°164,30,46,39,12
4,MERCREDI 23 FÉVRIER 2022,78,TIRAGE «BARAKA» N°164,8,62,86,5
5,MERCREDI 23 FÉVRIER 2022,15,TIRAGE «FORTUNE» NUMEROS MACHINE N°712,60,13,64,87
6,MERCREDI 23 FÉVRIER 2022,36,TIRAGE «FORTUNE» N°712,10,49,76,2
7,MERCREDI 23 FÉVRIER 2022,58,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°183,66,65,86,76
8,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
9,MARDI 22 FÉVRIER 2022,77,TIRAGE «SIKA» NUMEROS MACHINE N°164,31,41,59,17
10,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
11,MARDI 22 FÉVRIER 2022,37,TIRAGE « EMERGENCE » NUMEROS MACHINE N°304,16,44,75,81
0,MARDI 25 JANVIER 2022,90,TIRAGE « LA MATINALE » N°179,54,24,73,26
1,MARDI 25 JANVIER 2022,37,TIRAGE « LA MATINALE » NUMEROS MACHINE N°179,21,74,7,56
2,LUNDI 24 JANVIER 2022,58,TIRAGE «AKWABA» N°160,29,34,72,39
3,LUNDI 24 JANVIER 2022,6,TIRAGE «AKWABA» NUMEROS MACHINE N°160,69,56,10,18
4,LUNDI 24 JANVIER 2022,81,TIRAGE «ETOILE» N°299,26,90,44,15
5,LUNDI 24 JANVIER 2022,35,TIRAGE «ETOILE» N°299,79,77,53,6
6,LUNDI 24 JANVIER 2022,4,TIRAGE «REVEIL» N°179,42,21,39,64
7,LUNDI 24 JANVIER 2022,35,TIRAGE «REVEIL» NUMEROS MACHINE N°179,6,27,20,72
8,LUNDI 24 JANVIER 2022,88,TIRAGE «MONDAY SPECIAL» N°817,63,11,90,35
9,LUNDI 24 JANVIER 2022,33,TIRAGE «ESPOIR» NUMEROS MACHINE N°196,1,28,49,3
10,DIMANCHE 23 JANVIER 2022,41,TIRAGE «AWALE» N°159,59,6,56,8
11,DIMANCHE 23 JANVIER 2022,47,TIRAGE «AWALE» NUMEROS MACHINE N°159,32,73,49,46
0,LUNDI 24 JANVIER 2022,4,TIRAGE «REVEIL» N°179,42,21,39,64
1,LUNDI 24 JANVIER 2022,35,TIRAGE «REVEIL» NUMEROS MACHINE N°179,6,27,20,72
2,DIMANCHE 23 JANVIER 2022,41,TIRAGE «AWALE» N°159,59,6,56,8
3,LUNDI 24 JANVIER 2022,33,TIRAGE «ESPOIR» NUMEROS MACHINE N°196,1,28,49,3
4,DIMANCHE 23 JANVIER 2022,59,TIRAGE «PRESTIGE» N°227,85,90,21,71
5,DIMANCHE 23 JANVIER 2022,47,TIRAGE «AWALE» NUMEROS MACHINE N°159,32,73,49,46
6,DIMANCHE 23 JANVIER 2022,47,TIRAGE «BENEDICTION» N°178,42,13,9,5
7,DIMANCHE 23 JANVIER 2022,22,TIRAGE «PRESTIGE» NUMEROS MACHINE N°227,87,5,9,2
8,DIMANCHE 23 JANVIER 2022,2,TIRAGE «ESPOIR» N°196,57,35,78,11
9,DIMANCHE 23 JANVIER 2022,43,TIRAGE «BENEDICTION» NUMEROS MACHINE N°178,66,57,48,4
10,SAMEDI 22 JANVIER 2022,74,TIRAGE « MOAYE » N°159,9,55,78,16
11,SAMEDI 22 JANVIER 2022,32,TIRAGE « MOAYE » NULEROS MACHINE N°159,90,1,14,85
0,DIMANCHE 23 JANVIER 2022,47,TIRAGE «BENEDICTION» N°178,42,13,9,5
1,DIMANCHE 23 JANVIER 2022,43,TIRAGE «BENEDICTION» NUMEROS MACHINE N°178,66,57,48,4
2,SAMEDI 22 JANVIER 2022,74,TIRAGE « MOAYE » N°159,9,55,78,16
3,SAMEDI 22 JANVIER 2022,32,TIRAGE « MOAYE » NULEROS MACHINE N°159,90,1,14,85
4,SAMEDI 22 JANVIER 2022,51,TIRAGE « DIAMANT» N°708,1,76,89,7
5,SAMEDI 22 JANVIER 2022,52,TIRAGE « DIAMANT» NUMEROS MACHINE N°708,82,68,23,77
6,SAMEDI 22 JANVIER 2022,12,TIRAGE « SOUTRA» N°179,36,63,30,50
7,SAMEDI 22 JANVIER 2022,22,TIRAGE « SOUTRA» NUMEROS MACHINE N°179,69,72,15,42
8,SAMEDI 22 JANVIER 2022,79,TIRAGE «SATURDAY NATIONAL » N°3092,34,15,11,52
9,VENDREDI 21 JANVIER 2022,15,TIRAGE « WARI » NUMEROS MACHINE N°159,27,59,71,4
10,VENDREDI 21 JANVIER 2022,29,TIRAGE « FRIDAY BONANZA» N° 721,17,40,79,3
11,VENDREDI 21 JANVIER 2022,90,TIRAGE « SOLUTION » NUMEROS MACHINE N°299,8,17,54,38
0,JEUDI 27 JANVIER 2022,4,TIRAGE «MONNI» N°160,17,12,42,72
1,JEUDI 27 JANVIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°160,45,16,38,3
