,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 27 JUILLET 2022,32,TIRAGE «BARAKA» N°186,30,77,20,25
1,MERCREDI 27 JUILLET 2022,76,TIRAGE «BARAKA» NUMEROS MACHINE N°186,12,23,57,19
2,MERCREDI 27 JUILLET 2022,59,TIRAGE «FORTUNE» N°734,68,80,46,64
3,MERCREDI 27 JUILLET 2022,72,TIRAGE «FORTUNE» NUMEROS MACHINE N°734,78,33,73,08
4,MERCREDI 27 JUILLET 2022,32,TIRAGE «PREMIERE HEURE» N°205,79,24,29,05
5,MERCREDI 27 JUILLET 2022,50,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°205,45,86,83,60
6,MARDI 26 JUILLET 2022,17,TIRAGE « LA MATINALE » N°205,75,47,53,24
7,MARDI 26 JUILLET 2022,79,TIRAGE « LA MATINALE » NUMEROS MACHINE N°205,52,05,58,27
8,LUNDI 25 JUILLET 2022,62,TIRAGE «ETOILE» N°325,64,75,26,39
9,LUNDI 25 JUILLET 2022,32,TIRAGE «ETOILE» NUMEROS MACHINE N°325,71,44,59,48
10,LUNDI 25 JUILLET 2022,50,TIRAGE «REVEIL» N°205,33,32,42,71
11,LUNDI 25 JUILLET 2022,80,TIRAGE «REVEIL» NUMEROS MACHINE N°205,25,24,02,90
