,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 28 AOÛT 2022,72,TIRAGE «BENEDICTION» N°210,12,37,64,57
1,DIMANCHE 28 AOÛT 2022,85,TIRAGE «BENEDICTION» NUMEROS MACHINE N°210,49,30,21,43
2,SAMEDI 27 AOÛT 2022,81,TIRAGE «SATURDAY NATIONAL » N°3123,37,44,55,09
3,SAMEDI 27 AOÛT 2022,23,TIRAGE « MOAYE » NUMEROS MACHINE N°190,60,88,77,05
4,SAMEDI 27 AOÛT 2022,12,TIRAGE « MOAYE » N°190,67,48,06,68
5,SAMEDI 27 AOÛT 2022,37,TIRAGE « DIAMANT» N°739,57,14,83,60
6,SAMEDI 27 AOÛT 2022,19,TIRAGE « DIAMANT» N°739,86,81,68,45
7,SAMEDI 27 AOÛT 2022,35,TIRAGE « SOUTRA» N°210,68,81,20,72
8,SAMEDI 27 AOÛT 2022,11,TIRAGE « SOUTRA» N°210,63,37,46,04
9,JEUDI 25 AOÛT 2022,56,TIRAGE «KADO» NUMEROS MACHINE N°208,45,50,81,18
10,JEUDI 25 AOÛT 2022,66,TIRAGE «KADO» N°208,75,14,40,35
11,MARDI 23 AOÛT 2022,12,TIRAGE « EMERGENCE » NUMEROS MACHINE N°330,43,86,60,03
