,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 5 AOÛT 2022,84,TIRAGE «CASH» N°207,13,50,52,08
1,VENDREDI 5 AOÛT 2022,16,TIRAGE «CASH» NUMEROS MACHINE N°207,68,06,74,87
2,JEUDI 4 AOÛT 2022,41,TIRAGE «MONNI» N°187,50,31,12,23
3,JEUDI 4 AOÛT 2022,63,TIRAGE «MONNI» NUMEROS MACHINE N°187,59,18,05,24
4,JEUDI 4 AOÛT 2022,86,TIRAGE «PRIVILEGE» N°327,71,28,77,78
5,JEUDI 4 AOÛT 2022,27,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°327,73,89,15,43
6,JEUDI 4 AOÛT 2022,66,TIRAGE «SPECIAL DAYS OFF» N°30,06,43,72,83
7,JEUDI 4 AOÛT 2022,44,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°30,81,88,13,87
8,MERCREDI 3 AOÛT 2022,07,TIRAGE «FORTUNE» N°735,71,26,53,02
9,MERCREDI 3 AOÛT 2022,14,TIRAGE «FORTUNE» NUMEROS MACHINE N°735,09,68,72,76
10,MERCREDI 3 AOÛT 2022,24,TIRAGE «PREMIERE HEURE» N°206,33,09,04,35
11,MERCREDI 3 AOÛT 2022,22,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°206,42,57,21,87
