,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 17 MAI 2022,58,TIRAGE « LUCKY TUESDAY » N°765,27,53,02,48
1,MARDI 17 MAI 2022,29,TIRAGE «SIKA» NUMEROS MACHINE N°176,37,76,07,89
2,MARDI 17 MAI 2022,20,TIRAGE «SIKA» N°176,23,80,21,86
3,MARDI 17 MAI 2022,64,TIRAGE « EMERGENCE » NUMEROS MACHINE N°316,66,79,43,45
4,MARDI 17 MAI 2022,27,TIRAGE « EMERGENCE » N°316,52,34,47,72
5,MARDI 17 MAI 2022,75,TIRAGE « LA MATINALE » NUMEROS MACHINE N°195,35,73,58,17
6,MARDI 17 MAI 2022,76,TIRAGE « LA MATINALE » N°195,63,60,68,65
7,LUNDI 16 MAI 2022,32,DU TIRAGE «AKWABA» NUMEROS MACHINE N°176,04,77,11,37
8,LUNDI 16 MAI 2022,47,TIRAGE «AKWABA» N°176,27,64,08,72
9,LUNDI 16 MAI 2022,82,TIRAGE «ETOILE» NUMEROS MACHINE N°315,18,44,15,55
10,LUNDI 16 MAI 2022,73,TIRAGE «ETOILE» N°315,25,51,20,58
11,LUNDI 16 MAI 2022,17,TIRAGE «REVEIL» NUMEROS MACHINE N°195,56,27,30,83
