,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 4 JUILLET 2022,64,TIRAGE «ETOILE» N°322,68,76,67,36
1,LUNDI 4 JUILLET 2022,77,TIRAGE «ETOILE» NUMEROS MACHINE N°322,73,17,83,71
2,LUNDI 4 JUILLET 2022,11,TIRAGE «REVEIL» N°202,23,47,50,79
3,LUNDI 4 JUILLET 2022,30,TIRAGE «REVEIL» NUMEROS MACHINE N°202,19,12,58,54
4,DIMANCHE 3 JUILLET 2022,74,TIRAGE «AWALE» N°182,52,09,12,57
5,DIMANCHE 3 JUILLET 2022,34,TIRAGE «AWALE» NUMEROS MACHINE N°182,68,65,30,32
6,DIMANCHE 3 JUILLET 2022,43,TIRAGE «BENEDICTION» N°202,76,81,25,22
7,DIMANCHE 3 JUILLET 2022,65,TIRAGE «BENEDICTION» NUMEROS MACHINE N°202,79,61,47,77
8,SAMEDI 2 JUILLET 2022,70,TIRAGE « MOAYE » N°182,84,74,08,12
9,SAMEDI 2 JUILLET 2022,55,TIRAGE « MOAYE » NUMEROS MACHINE N°182,49,27,79,26
10,SAMEDI 2 JUILLET 2022,84,TIRAGE « DIAMANT» N°731,66,18,33,87
11,SAMEDI 2 JUILLET 2022,36,TIRAGE « DIAMANT» NUMEROS MACHINE N°731,75,39,12,72
