,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 31 MAI 2022,70,TIRAGE « LA MATINALE » N°197,24,22,02,90
1,MARDI 31 MAI 2022,89,TIRAGE « LA MATINALE » NUMEROS MACHINE N°197,43,75,07,51
2,LUNDI 30 MAI 2022,78,TIRAGE «AKWABA» N°178,47,52,75,87
3,LUNDI 30 MAI 2022,67,TIRAGE «AKWABA» NUMEROS MACHINE N°178,58,61,66,45
4,LUNDI 30 MAI 2022,06,TIRAGE «ETOILE» N°317,20,88,90,34
5,LUNDI 30 MAI 2022,78,TIRAGE «ETOILE» NUMEROS MACHINE N°317,44,47,66,53
6,LUNDI 30 MAI 2022,01,TIRAGE «REVEIL» N°197,36,47,74,11
7,LUNDI 30 MAI 2022,85,TIRAGE «REVEIL» NUMEROS MACHINE N°197,90,48,09,30
8,DIMANCHE 29 MAI 2022,59,TIRAGE «AWALE» N°177,18,85,21,80
9,DIMANCHE 29 MAI 2022,67,TIRAGE «AWALE» NUMEROS MACHINE N°177,86,89,47,76
10,DIMANCHE 29 MAI 2022,01,TIRAGE «PRESTIGE» N°245,90,60,77,85
11,DIMANCHE 29 MAI 2022,76,TIRAGE «PRESTIGE» NUMEROS MACHINE N°245,68,67,44,54
