,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 28 NOVEMBRE 2022,26,TIRAGE «MONDAY SPECIAL» N°857,74,20,07,59
1,LUNDI 28 NOVEMBRE 2022,73,TIRAGE «AKWABA» NUMEROS MACHINE N°204,41,32,77,48
2,LUNDI 28 NOVEMBRE 2022,43,TIRAGE «AKWABA» N°204,88,80,21,38
3,LUNDI 28 NOVEMBRE 2022,41,TIRAGE «ETOILE» NUMEROS MACHINE N°343,68,60,42,38
4,LUNDI 28 NOVEMBRE 2022,72,TIRAGE «ETOILE» N°343,10,02,82,14
5,LUNDI 28 NOVEMBRE 2022,66,TIRAGE «REVEIL» NUMEROS MACHINE N°223,08,71,81,43
6,LUNDI 28 NOVEMBRE 2022,54,TIRAGE «REVEIL» N°223,10,53,31,70
7,DIMANCHE 27 NOVEMBRE 2022,03,TIRAGE «AWALE» NUMEROS MACHINE N°203,12,51,60,02
8,DIMANCHE 27 NOVEMBRE 2022,73,TIRAGE «PRESTIGE» N°271,52,34,59,17
9,DIMANCHE 27 NOVEMBRE 2022,20,TIRAGE «PRESTIGE» NUMEROS MACHINE N°271,36,53,81,19
10,DIMANCHE 27 NOVEMBRE 2022,69,TIRAGE «BENEDICTION» N°223,42,49,78,52
11,DIMANCHE 27 NOVEMBRE 2022,56,TIRAGE «BENEDICTION» NUMEROS MACHINE N°223,05,46,18,73
