,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 7 MARS 2022,56,TIRAGE «REVEIL» N°185,86,22,58,64
1,LUNDI 7 MARS 2022,19,TIRAGE «REVEIL» NUMEROS MACHINE N°185,81,88,03,28
2,DIMANCHE 6 MARS 2022,41,TIRAGE «AWALE» N°165,60,12,02,65
3,DIMANCHE 6 MARS 2022,53,TIRAGE «AWALE» NUMEROS MACHINE N°165,08,28,82,22
4,DIMANCHE 6 MARS 2022,67,TIRAGE «PRESTIGE» N°233,40,64,83,62
5,DIMANCHE 6 MARS 2022,68,TIRAGE «PRESTIGE» NUMEROS MACHINE N°233,22,37,87,13
6,DIMANCHE 6 MARS 2022,39,TIRAGE «BENEDICTION» N°185,09,06,37,51
7,DIMANCHE 6 MARS 2022,77,TIRAGE «BENEDICTION» NUMEROS MACHINE N°185,20,86,55,28
8,SAMEDI 5 MARS 2022,90,TIRAGE «SATURDAY NATIONAL » N°3098,61,80,72,84
9,SAMEDI 5 MARS 2022,89,TIRAGE « MOAYE » NUMEROS MACHINE N°165,65,82,86,13
10,SAMEDI 5 MARS 2022,17,TIRAGE « MOAYE » N°165,88,23,38,18
11,SAMEDI 5 MARS 2022,20,TIRAGE « DIAMANT» NUMEROS MACHINE N°714,63,37,74,77
