,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 22 AVRIL 2022,06,TIRAGE « WARI » N°172,43,66,27,81
1,VENDREDI 22 AVRIL 2022,22,TIRAGE « WARI » NUMEROS MACHINE N°172,13,31,14,29
2,VENDREDI 22 AVRIL 2022,57,TIRAGE « SOLUTION » N°312,64,79,89,60
3,VENDREDI 22 AVRIL 2022,02,TIRAGE « SOLUTION » NUMEROS MACHINE N°312,15,43,49,59
4,VENDREDI 22 AVRIL 2022,59,TIRAGE «CASH» N°192,54,15,65,62
5,VENDREDI 22 AVRIL 2022,38,TIRAGE «CASH» NUMEROS MACHINE N°192,75,05,02,78
6,JEUDI 21 AVRIL 2022,14,TIRAGE « FORTUNE THURSDAY» N°762,87,67,40,58
7,JEUDI 21 AVRIL 2022,69,TIRAGE «MONNI» NUMEROS MACHINE N°172,37,08,84,65
8,JEUDI 21 AVRIL 2022,33,TIRAGE «MONNI» N°172,35,22,66,06
9,JEUDI 21 AVRIL 2022,51,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°312,60,12,74,43
10,JEUDI 21 AVRIL 2022,44,TIRAGE «PRIVILEGE» N°312,45,41,84,57
11,JEUDI 21 AVRIL 2022,14,TIRAGE «KADO» NUMEROS MACHINE N°190,71,54,60,13
