,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 19 DÉCEMBRE 2022,58,TIRAGE «AKWABA» N°207,66,01,64,22
1,LUNDI 19 DÉCEMBRE 2022,43,TIRAGE «AKWABA» NUMEROS MACHINE N°207,27,26,75,35
2,LUNDI 19 DÉCEMBRE 2022,84,TIRAGE «ETOILE» N°346,54,60,19,15
3,LUNDI 19 DÉCEMBRE 2022,77,TIRAGE «ETOILE» NUMEROS MACHINE N°346,79,68,36,52
4,LUNDI 19 DÉCEMBRE 2022,78,TIRAGE «REVEIL» N°226,34,24,80,77
5,LUNDI 19 DÉCEMBRE 2022,24,TIRAGE «REVEIL» NUMEROS MACHINE N°226,26,06,08,45
6,DIMANCHE 18 DÉCEMBRE 2022,15,TIRAGE «ESPOIR» N°243,23,80,67,64
7,DIMANCHE 18 DÉCEMBRE 2022,04,TIRAGE «ESPOIR» NUMEROS MACHINE N°243,55,87,01,18
8,DIMANCHE 18 DÉCEMBRE 2022,53,TIRAGE «AWALE» N°206,48,23,58,44
9,DIMANCHE 18 DÉCEMBRE 2022,60,TIRAGE «AWALE» NUMEROS MACHINE N°206,51,90,74,60
10,DIMANCHE 18 DÉCEMBRE 2022,89,TIRAGE «PRESTIGE» N°274,37,70,66,58
11,DIMANCHE 18 DÉCEMBRE 2022,39,TIRAGE «PRESTIGE» NUMEROS MACHINE N°274,35,46,86,22
