,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 16 FÉVRIER 2022,47,TIRAGE «FORTUNE» N°711,51,08,42,87
1,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
2,MERCREDI 16 FÉVRIER 2022,74,TIRAGE «PREMIERE HEURE» N°182,18,70,71,16
3,MERCREDI 16 FÉVRIER 2022,68,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°182,98,85,61,04
4,MARDI 15 FÉVRIER 2022,32,TIRAGE «SIKA» N°163,11,28,30,81
5,MARDI 15 FÉVRIER 2022,22,TIRAGE «SIKA» NUMEROS MACHINE N°163,29,50,61,39
6,MARDI 15 FÉVRIER 2022,31,TIRAGE « EMERGENCE » N°303,86,02,62,07
7,MARDI 15 FÉVRIER 2022,60,TIRAGE « EMERGENCE » NUMEROS MACHINE N°303,48,70,76,65
8,MARDI 15 FÉVRIER 2022,63,TIRAGE « LA MATINALE » N°182,10,22,89,68
9,MARDI 15 FÉVRIER 2022,16,TIRAGE « LA MATINALE » NUMEROS MACHINE N°182,58,31,37,72
10,LUNDI 14 FÉVRIER 2022,65,TIRAGE «MONDAY SPECIAL» N°820,46,85,23,42
11,LUNDI 14 FÉVRIER 2022,53,TIRAGE «AKWABA» NUMEROS MACHINE N°163,50,87,15,03
