,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 17 JUILLET 2022,10,TIRAGE «ESPOIR» N°221,30,34,73,70
1,DIMANCHE 17 JUILLET 2022,77,TIRAGE «ESPOIR» NUMEROS MACHINE N°221,59,41,18,40
2,DIMANCHE 17 JUILLET 2022,87,TIRAGE «AWALE» N°184,83,58,08,15
3,DIMANCHE 17 JUILLET 2022,86,TIRAGE «AWALE» NUMEROS MACHINE N°184,33,26,49,21
4,DIMANCHE 17 JUILLET 2022,23,TIRAGE «PRESTIGE» N°252,47,77,75,55
5,DIMANCHE 17 JUILLET 2022,16,TIRAGE «PRESTIGE» NUMEROS MACHINE N°252,40,41,87,26
6,DIMANCHE 17 JUILLET 2022,33,TIRAGE «BENEDICTION» N°204,90,28,56,52
7,DIMANCHE 17 JUILLET 2022,54,TIRAGE «BENEDICTION» NUMEROS MACHINE N°204,26,16,76,24
8,SAMEDI 16 JUILLET 2022,87,TIRAGE «SATURDAY NATIONAL » N°3117,59,88,11,79
9,SAMEDI 16 JUILLET 2022,01,TIRAGE « MOAYE » NUMEROS MACHINE N°184,81,28,04,79
10,SAMEDI 16 JUILLET 2022,21,TIRAGE « MOAYE » N°184,40,84,68,80
11,SAMEDI 16 JUILLET 2022,61,TIRAGE « DIAMANT» NUMEROS MACHINE N°733,87,83,77,06
