,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 20 AOÛT 2022,76,TIRAGE « SOUTRA» N°209,65,49,37,58
1,SAMEDI 20 AOÛT 2022,61,TIRAGE « SOUTRA» NUMEROS MACHINE N°209,83,90,85,66
2,VENDREDI 19 AOÛT 2022,13,TIRAGE « SOLUTION » N°329,58,14,25,86
3,VENDREDI 19 AOÛT 2022,63,TIRAGE « SOLUTION » NUMEROS MACHINE N°329,81,10,21,12
4,VENDREDI 19 AOÛT 2022,65,TIRAGE «CASH» N°209,30,23,81,43
5,VENDREDI 19 AOÛT 2022,31,TIRAGE «CASH» NUMEROS MACHINE N°209,67,20,64,88
6,JEUDI 18 AOÛT 2022,60,TIRAGE «MONNI» N°189,45,75,18,34
7,JEUDI 18 AOÛT 2022,86,TIRAGE «MONNI» NUMEROS MACHINE N°189,50,84,41,04
8,JEUDI 18 AOÛT 2022,60,TIRAGE «MONNI» N°189,45,75,18,34
9,JEUDI 18 AOÛT 2022,86,TIRAGE «MONNI» NUMEROS MACHINE N°189,50,84,41,04
10,JEUDI 18 AOÛT 2022,05,TIRAGE «PRIVILEGE» N°32,29,73,40,51
11,JEUDI 18 AOÛT 2022,42,DU TIRAGE «PRIVILEGE» NUMEROS MACHINE N°32,19,17,63,86
