,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 16 MARS 2022,88,TIRAGE «BARAKA» N°167,85,83,72,03
1,MERCREDI 16 MARS 2022,17,TIRAGE «BARAKA» NUMEROS MACHINE N°167,66,59,84,86
2,MERCREDI 16 MARS 2022,81,TIRAGE «FORTUNE» N°715,56,24,21,29
3,MERCREDI 16 MARS 2022,30,TIRAGE «FORTUNE» NUMEROS MACHINE N°715,07,89,41,25
4,MERCREDI 16 MARS 2022,56,TIRAGE «PREMIERE HEURE» N°186,37,64,47,66
5,MERCREDI 16 MARS 2022,26,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°186,67,81,89,55
6,LUNDI 14 MARS 2022,59,TIRAGE «MONDAY SPECIAL» N°823,32,84,24,78
7,LUNDI 14 MARS 2022,54,TIRAGE «AKWABA» NUMEROS MACHINE N°167,45,36,81,43
8,LUNDI 14 MARS 2022,68,TIRAGE «AKWABA» N°167,74,40,35,71
9,LUNDI 14 MARS 2022,82,TIRAGE «ETOILE» NUMEROS MACHINE N°306,59,18,35,28
10,LUNDI 14 MARS 2022,78,TIRAGE «ETOILE» N°306,88,65,04,31
11,LUNDI 14 MARS 2022,04,TIRAGE «REVEIL» NUMEROS MACHINE N°186,78,79,82,52
