,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 11 JUIN 2022,61,TIRAGE « SOUTRA» N°199,66,47,38,30
1,SAMEDI 11 JUIN 2022,90,TIRAGE « SOUTRA» NUMEROS MACHINE N°199,86,34,37,64
2,VENDREDI 10 JUIN 2022,37,TIRAGE « FRIDAY BONANZA» N° 740,74,66,85,05
3,VENDREDI 10 JUIN 2022,85,TIRAGE « WARI » NUMEROS MACHINE N°179,34,28,82,80
4,VENDREDI 10 JUIN 2022,50,TIRAGE « WARI » N°179,57,17,47,37
5,VENDREDI 10 JUIN 2022,66,TIRAGE « SOLUTION » NUMEROS MACHINE N°319,03,90,44,61
6,VENDREDI 10 JUIN 2022,65,TIRAGE « SOLUTION » N°319,06,43,16,47
7,VENDREDI 10 JUIN 2022,82,TIRAGE «CASH» NUMEROS MACHINE N°199,22,54,37,67
8,VENDREDI 10 JUIN 2022,66,TIRAGE «CASH» N°199,12,62,42,63
9,JEUDI 9 JUIN 2022,67,TIRAGE «MONNI» NUMEROS MACHINE N°179,12,58,03,90
10,JEUDI 9 JUIN 2022,55,TIRAGE « FORTUNE THURSDAY» N°769,68,29,72,59
11,JEUDI 9 JUIN 2022,88,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°319,29,23,03,40
