,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 4 MAI 2022,67,TIRAGE «FORTUNE» N°722,11,15,61,68
1,MERCREDI 4 MAI 2022,58,TIRAGE «FORTUNE» NUMEROS MACHINE N°722,44,39,49,69
2,MERCREDI 4 MAI 2022,67,TIRAGE «PREMIERE HEURE» N°193,46,23,75,50
3,MERCREDI 4 MAI 2022,18,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°193,13,21,62,78
4,MARDI 3 MAI 2022,46,TIRAGE «SPECIAL DAYS OFF» N°28,40,83,89,76
5,MARDI 3 MAI 2022,69,TIRAGE «SPECIAL DAYS OFF» NUMEROS MACHINE N°28,17,88,80,28
6,MARDI 3 MAI 2022,38,TIRAGE «SIKA» N°174,78,58,60,01
7,MARDI 3 MAI 2022,34,TIRAGE «SIKA» NUMEROS MACHINE N°174,51,42,05,45
8,MARDI 3 MAI 2022,78,TIRAGE « EMERGENCE » N°314,79,13,35,81
9,MARDI 3 MAI 2022,67,TIRAGE « EMERGENCE » NUMEROS MACHINE N°314,68,75,61,22
10,MARDI 3 MAI 2022,13,TIRAGE « LA MATINALE » N°193,82,33,67,34
11,MARDI 3 MAI 2022,53,TIRAGE « LA MATINALE » NUMEROS MACHINE N°193,39,68,26,85
