,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 11 OCTOBRE 2022,06,TIRAGE «SIKA» N°197,01,32,33,54
1,MARDI 11 OCTOBRE 2022,30,TIRAGE «SIKA» NUMEROS MACHINE N°197,55,69,12,15
2,MARDI 11 OCTOBRE 2022,66,TIRAGE « EMERGENCE » N°337,18,49,40,38
3,MARDI 11 OCTOBRE 2022,30,TIRAGE « EMERGENCE » NUMEROS MACHINE N°337,01,46,03,31
4,MARDI 11 OCTOBRE 2022,16,TIRAGE « LA MATINALE » N°216,23,29,03,36
5,MARDI 11 OCTOBRE 2022,82,TIRAGE « LA MATINALE » NUMEROS MACHINE N°216,84,62,81,39
6,MARDI 11 OCTOBRE 2022,24,TIRAGE « LUCKY TUESDAY » N°786,28,23,10,58
7,LUNDI 10 OCTOBRE 2022,33,TIRAGE «AKWABA» NUMEROS MACHINE N°197,59,17,61,04
8,LUNDI 10 OCTOBRE 2022,01,TIRAGE «AKWABA» N°197,22,69,57,09
9,LUNDI 10 OCTOBRE 2022,55,TIRAGE «ETOILE» NUMEROS MACHINE N°336,15,23,28,56
10,LUNDI 10 OCTOBRE 2022,33,TIRAGE «ETOILE» N°336,35,34,07,11
11,LUNDI 10 OCTOBRE 2022,77,TIRAGE «REVEIL» NUMEROS MACHINE N°216,83,15,35,64
