,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 9 AOÛT 2022,58,TIRAGE « EMERGENCE » N°328,43,13,21,44
1,MARDI 9 AOÛT 2022,82,TIRAGE « EMERGENCE » NUMEROS MACHINE N°328,66,60,73,61
2,MARDI 9 AOÛT 2022,79,TIRAGE « LA MATINALE » N°207,14,57,01,26
3,MARDI 9 AOÛT 2022,66,TIRAGE « LA MATINALE » NUMEROS MACHINE N°207,29,49,62,72
4,LUNDI 8 AOÛT 2022,53,TIRAGE «MONDAY SPECIAL»,77,85,88,55
5,LUNDI 8 AOÛT 2022,58,TIRAGE «AKWABA» NUMEROS MACHINE N°188,09,77,34,52
6,LUNDI 8 AOÛT 2022,55,TIRAGE «AKWABA» N°188,40,82,59,20
7,LUNDI 8 AOÛT 2022,61,TIRAGE «ETOILE» NUMEROS MACHINE N°327,66,26,12,72
8,LUNDI 8 AOÛT 2022,19,TIRAGE «ETOILE» N°327,58,25,37,51
9,LUNDI 8 AOÛT 2022,52,TIRAGE «REVEIL» NUMEROS MACHINE N°207,22,63,30,88
10,LUNDI 8 AOÛT 2022,78,TIRAGE «REVEIL» N°207,41,43,06,75
11,DIMANCHE 7 AOÛT 2022,28,TIRAGE «AWALE» NUMEROS MACHINE N°187,11,31,71,85
