,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 25 AOÛT 2022,66,TIRAGE «KADO» N°208,75,14,40,35
1,JEUDI 25 AOÛT 2022,56,TIRAGE «KADO» NUMEROS MACHINE N°208,45,50,81,18
2,MARDI 23 AOÛT 2022,46,TIRAGE « EMERGENCE » N°330,83,10,15,68
3,MARDI 23 AOÛT 2022,12,TIRAGE « EMERGENCE » NUMEROS MACHINE N°330,43,86,60,03
4,MARDI 23 AOÛT 2022,06,TIRAGE « LA MATINALE » N°209,52,71,25,10
5,MARDI 23 AOÛT 2022,87,TIRAGE « LA MATINALE » NUMEROS MACHINE N°209,56,01,59,23
6,LUNDI 22 AOÛT 2022,87,TIRAGE «AKWABA» N°190,02,35,78,55
7,LUNDI 22 AOÛT 2022,05,TIRAGE «AKWABA» NUMEROS MACHINE N°190,65,49,57,52
8,LUNDI 22 AOÛT 2022,52,TIRAGE «ETOILE» N°328,77,34,60,72
9,LUNDI 22 AOÛT 2022,58,TIRAGE «ETOILE» NUMEROS MACHINE N°328,88,80,04,02
10,LUNDI 22 AOÛT 2022,20,TIRAGE «REVEIL» N°209,15,35,10,31
11,LUNDI 22 AOÛT 2022,40,TIRAGE «REVEIL» NUMEROS MACHINE N°209,59,58,86,05
