,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 30 JANVIER 2022,89,TIRAGE «BENEDICTION» N°180,73,01,64,90
1,DIMANCHE 30 JANVIER 2022,20,TIRAGE «BENEDICTION» NUMEROS MACHINE N°180,46,08,02,51
2,SAMEDI 29 JANVIER 2022,57,TIRAGE « MOAYE » N°160,22,06,79,81
3,SAMEDI 29 JANVIER 2022,71,TIRAGE « MOAYE » NUMEROS MACHINE N°160,16,20,08,27
4,SAMEDI 29 JANVIER 2022,04,TIRAGE « DIAMANT» N°709,55,84,51,88
5,SAMEDI 29 JANVIER 2022,25,TIRAGE « DIAMANT» NUMEROS MACHINE N°709,69,82,75,65
6,SAMEDI 29 JANVIER 2022,11,TIRAGE « SOUTRA» N°180,80,52,24,47
7,SAMEDI 29 JANVIER 2022,88,TIRAGE « SOUTRA» NUMEROS MACHINE N°180,23,31,42,34
8,SAMEDI 29 JANVIER 2022,84,TIRAGE «SATURDAY NATIONAL » N°3093,63,58,89,51
9,VENDREDI 28 JANVIER 2022,42,TIRAGE « WARI » NUMEROS MACHINE N°160,88,58,23,04
10,VENDREDI 28 JANVIER 2022,52,TIRAGE « FRIDAY BONANZA» N° 722,20,07,14,65
11,VENDREDI 28 JANVIER 2022,13,TIRAGE « SOLUTION » NUMEROS MACHINE N°300,89,37,19,52
