,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 6 SEPTEMBRE 2022,34,TIRAGE «SIKA» N°192,62,81,20,84
1,MARDI 6 SEPTEMBRE 2022,46,TIRAGE «SIKA» NUMEROS MACHINE N°192,08,12,64,25
2,MARDI 6 SEPTEMBRE 2022,22,TIRAGE « EMERGENCE » N°332,80,76,07,36
3,MARDI 6 SEPTEMBRE 2022,69,TIRAGE « EMERGENCE » NUMEROS MACHINE N°332,01,63,29,24
4,MARDI 6 SEPTEMBRE 2022,33,TIRAGE « LA MATINALE » N°211,47,18,82,44
5,MARDI 6 SEPTEMBRE 2022,46,TIRAGE « LA MATINALE » NUMEROS MACHINE N°211,56,03,76,73
6,LUNDI 5 SEPTEMBRE 2022,88,TIRAGE «ETOILE» N°331,35,68,53,70
7,LUNDI 5 SEPTEMBRE 2022,08,TIRAGE «ETOILE» NUMEROS MACHINE N°331,01,29,26,59
8,LUNDI 5 SEPTEMBRE 2022,83,TIRAGE «AKWABA» N°192,28,62,85,50
9,LUNDI 5 SEPTEMBRE 2022,38,TIRAGE «AKWABA» NUMEROS MACHINE N°192,09,08,01,04
10,LUNDI 5 SEPTEMBRE 2022,81,TIRAGE «REVEIL» N°211,51,28,48,14
11,LUNDI 5 SEPTEMBRE 2022,19,TIRAGE «REVEIL» NUMEROS MACHINE N°211,03,80,47,34
