,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 21 DÉCEMBRE 2022,13,TIRAGE «PREMIERE HEURE» N°226,15,64,38,28
1,MERCREDI 21 DÉCEMBRE 2022,72,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°226,62,43,74,66
2,MARDI 20 DÉCEMBRE 2022,59,TIRAGE « LUCKY TUESDAY » N°796,78,16,64,42
3,MARDI 20 DÉCEMBRE 2022,13,TIRAGE «SIKA» NUMEROS MACHINE N°207,70,09,76,52
4,MARDI 20 DÉCEMBRE 2022,74,TIRAGE «SIKA» N°207,34,55,56,15
5,MARDI 20 DÉCEMBRE 2022,38,TIRAGE « EMERGENCE » NUMEROS MACHINE N°347,18,90,05,08
6,MARDI 20 DÉCEMBRE 2022,27,TIRAGE « EMERGENCE » N°347,35,54,09,70
7,MARDI 20 DÉCEMBRE 2022,82,TIRAGE « LA MATINALE » NUMEROS MACHINE N°226,05,57,65,67
8,MARDI 20 DÉCEMBRE 2022,38,TIRAGE « LA MATINALE » N°226,03,49,85,10
9,LUNDI 19 DÉCEMBRE 2022,43,TIRAGE «AKWABA» NUMEROS MACHINE N°207,27,26,75,35
10,LUNDI 19 DÉCEMBRE 2022,58,TIRAGE «AKWABA» N°207,66,01,64,22
11,LUNDI 19 DÉCEMBRE 2022,77,TIRAGE «ETOILE» NUMEROS MACHINE N°346,79,68,36,52
