,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 1 OCTOBRE 2022,42,TIRAGE « SOUTRA» N°215,24,10,35,18
1,SAMEDI 1 OCTOBRE 2022,86,TIRAGE « SOUTRA» NUMEROS MACHINE N°215,37,49,09,70
2,VENDREDI 30 SEPTEMBRE 2022,65,TIRAGE « FRIDAY BONANZA» N° 756,28,70,14,02
3,VENDREDI 30 SEPTEMBRE 2022,36,TIRAGE « WARI » NUMEROS MACHINE N°195,53,49,26,29
4,VENDREDI 30 SEPTEMBRE 2022,61,TIRAGE « WARI » N°195,60,24,45,62
5,VENDREDI 30 SEPTEMBRE 2022,73,TIRAGE « SOLUTION » NUMEROS MACHIENE N°335,09,67,53,10
6,VENDREDI 30 SEPTEMBRE 2022,18,TIRAGE « SOLUTION » N°335,43,20,38,66
7,VENDREDI 30 SEPTEMBRE 2022,77,TIRAGE «CASH» NUMEROS MACHINE N°215,61,79,27,53
8,VENDREDI 30 SEPTEMBRE 2022,32,TIRAGE «CASH» N°215,05,24,72,16
9,JEUDI 29 SEPTEMBRE 2022,71,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°335,18,63,50,67
10,JEUDI 29 SEPTEMBRE 2022,16,TIRAGE «PRIVILEGE» N°335,47,73,15,44
11,JEUDI 29 SEPTEMBRE 2022,65,TIRAGE «KADO» NUMEROS MACHINE N°213,52,45,37,70
