,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 24 FÉVRIER 2022,08,TIRAGE «KADO» N°182,29,32,43,33
1,JEUDI 24 FÉVRIER 2022,83,TIRAGE «KADO» NUMEROS MACHINE N°182,50,68,58,86
2,MERCREDI 23 FÉVRIER 2022,20,TIRAGE « MID WEEK » N°951,39,49,41,54
3,MERCREDI 23 FÉVRIER 2022,26,TIRAGE «BARAKA» NUMEROS MACHINE N°164,30,46,39,12
4,MERCREDI 23 FÉVRIER 2022,78,TIRAGE «BARAKA» N°164,08,62,86,05
5,MERCREDI 23 FÉVRIER 2022,15,TIRAGE «FORTUNE» NUMEROS MACHINE N°712,60,13,64,87
6,MERCREDI 23 FÉVRIER 2022,36,TIRAGE «FORTUNE» N°712,10,49,76,02
7,MERCREDI 23 FÉVRIER 2022,58,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°183,66,65,86,76
8,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
9,MARDI 22 FÉVRIER 2022,77,TIRAGE «SIKA» NUMEROS MACHINE N°164,31,41,59,17
10,MERCREDI 23 FÉVRIER 2022,87,TIRAGE «PREMIERE HEURE» N°183,61,19,49,29
11,MARDI 22 FÉVRIER 2022,37,TIRAGE « EMERGENCE » NUMEROS MACHINE N°304,16,44,75,81
