,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 24 AVRIL 2022,10,TIRAGE «PRESTIGE» N°240,25,87,31,06
1,DIMANCHE 24 AVRIL 2022,56,TIRAGE «PRESTIGE» NUMEROS MACHINE N°240,54,32,36,68
2,DIMANCHE 24 AVRIL 2022,52,TIRAGE «BENEDICTION» N°191,04,59,67,69
3,DIMANCHE 24 AVRIL 2022,64,TIRAGE «BENEDICTION» NUMEROS MACHINE N°191,10,31,90,82
4,DIMANCHE 24 AVRIL 2022,52,TIRAGE «BENEDICTION» N°191,04,59,67,69
5,DIMANCHE 24 AVRIL 2022,64,DU TIRAGE «BENEDICTION» NUMEROS MACHINE N°191,10,31,90,82
6,SAMEDI 23 AVRIL 2022,86,TIRAGE «SATURDAY NATIONAL » N°3105,87,03,34,79
7,SAMEDI 23 AVRIL 2022,59,TIRAGE « MOAYE » NUMEROS MACHINE N°172,40,28,53,61
8,SAMEDI 23 AVRIL 2022,36,TIRAGE « MOAYE » N°172,49,20,90,30
9,SAMEDI 23 AVRIL 2022,68,TIRAGE « DIAMANT» NUMEROS MACHINE N°721,46,62,85,78
10,SAMEDI 23 AVRIL 2022,11,TIRAGE « DIAMANT» N°721,82,16,14,40
11,SAMEDI 23 AVRIL 2022,76,TIRAGE « SOUTRA» NUMEROS MACHINE N°192,08,83,06,70
