,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 23 JANVIER 2022,47,TIRAGE «BENEDICTION» N°178,42,13,09,05
1,DIMANCHE 23 JANVIER 2022,43,TIRAGE «BENEDICTION» NUMEROS MACHINE N°178,66,57,48,04
2,SAMEDI 22 JANVIER 2022,74,TIRAGE « MOAYE » N°159,09,55,78,16
3,SAMEDI 22 JANVIER 2022,32,TIRAGE « MOAYE » NULEROS MACHINE N°159,90,01,14,85
4,SAMEDI 22 JANVIER 2022,51,TIRAGE « DIAMANT» N°708,01,76,89,07
5,SAMEDI 22 JANVIER 2022,52,TIRAGE « DIAMANT» NUMEROS MACHINE N°708,82,68,23,77
6,SAMEDI 22 JANVIER 2022,12,TIRAGE « SOUTRA» N°179,36,63,30,50
7,SAMEDI 22 JANVIER 2022,22,TIRAGE « SOUTRA» NUMEROS MACHINE N°179,69,72,15,42
8,SAMEDI 22 JANVIER 2022,79,TIRAGE «SATURDAY NATIONAL » N°3092,34,15,11,52
9,VENDREDI 21 JANVIER 2022,15,TIRAGE « WARI » NUMEROS MACHINE N°159,27,59,71,04
10,VENDREDI 21 JANVIER 2022,29,TIRAGE « FRIDAY BONANZA» N° 721,17,40,79,03
11,VENDREDI 21 JANVIER 2022,90,TIRAGE « SOLUTION » NUMEROS MACHINE N°299,08,17,54,38
