,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 15 JUIN 2022,15,TIRAGE «BARAKA» N°180,54,68,21,20
1,MERCREDI 15 JUIN 2022,50,TIRAGE «BARAKA» NUMEROS MACHINE N°180,24,34,70,22
2,MERCREDI 15 JUIN 2022,67,TIRAGE «FORTUNE» N°728,17,60,48,88
3,MERCREDI 15 JUIN 2022,90,TIRAGE «FORTUNE» NUMEROS MACHINE N°728,57,14,77,19
4,MERCREDI 15 JUIN 2022,24,TIRAGE «PREMIERE HEURE» N°199,40,46,38,23
5,MERCREDI 15 JUIN 2022,08,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°199,61,79,85,55
6,MARDI 14 JUIN 2022,90,TIRAGE « LUCKY TUESDAY » N°769,21,45,06,24
7,MARDI 14 JUIN 2022,67,TIRAGE «SIKA» NUMEROS MACHINE N°180,50,58,06,55
8,MARDI 14 JUIN 2022,25,TIRAGE «SIKA» N°180,46,09,21,60
9,MARDI 14 JUIN 2022,53,TIRAGE « EMERGENCE » NUMEROS MACHINE N°319,62,50,51,73
10,MARDI 14 JUIN 2022,08,TIRAGE « EMERGENCE » N°319,23,35,70,75
11,MARDI 14 JUIN 2022,09,TIRAGE « LA MATINALE » NUMEROS MACHINE N°199,36,18,80,65
