,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 30 JUILLET 2022,24,TIRAGE « MOAYE » N°186,37,77,25,05
1,SAMEDI 30 JUILLET 2022,33,TIRAGE « MOAYE » NUMEROS MACHINE N°186,10,74,62,18
2,SAMEDI 30 JUILLET 2022,24,TIRAGE « MOAYE » N°186,37,77,25,05
3,SAMEDI 30 JUILLET 2022,33,TIRAGE « MOAYE » NUMEROS MACHINE N°186,10,74,62,18
4,SAMEDI 30 JUILLET 2022,88,TIRAGE « DIAMANT» N°735,53,67,90,07
5,SAMEDI 30 JUILLET 2022,32,TIRAGE « DIAMANT» NUMEROS MACHINE N°735,85,76,01,54
6,SAMEDI 30 JUILLET 2022,06,TIRAGE « SOUTRA» N°206,71,84,15,19
7,SAMEDI 30 JUILLET 2022,89,TIRAGE « SOUTRA» NUMEROS MACHINE N°206,62,87,18,37
8,VENDREDI 29 JUILLET 2022,26,TIRAGE « SOLUTION » N°326,66,70,88,15
9,VENDREDI 29 JUILLET 2022,09,TIRAGE « SOLUTION » NUMEROS MACHINE N°326,63,56,82,36
10,VENDREDI 29 JUILLET 2022,78,TIRAGE «CASH» N°206,68,28,85,29
11,VENDREDI 29 JUILLET 2022,25,TIRAGE «CASH» NUMEROS MACHINE N°206,06,03,44,58
