,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 1 FÉVRIER 2022,40,SIKA» N°161,42,76,65,12
1,MARDI 1 FÉVRIER 2022,46,SIKA» N°161,31,37,41,68
2,MARDI 1 FÉVRIER 2022,11,« EMERGENCE » N°301,65,04,46,42
3,MARDI 1 FÉVRIER 2022,82,« EMERGENCE » N°301,47,88,80,71
4,MARDI 1 FÉVRIER 2022,57,« LA MATINALE » N°180,79,06,50,52
5,MARDI 1 FÉVRIER 2022,59,TIRAGE « LA MATINALE » N°180,34,48,32,27
6,LUNDI 31 JANVIER 2022,49,TIRAGE «AKWABA» N°161,68,11,23,77
7,LUNDI 31 JANVIER 2022,40,TIRAGE «AKWABA» NUMEROS MACHINE N°161,09,66,01,55
8,LUNDI 31 JANVIER 2022,81,TIRAGE «ETOILE» N°300,37,40,02,06
9,LUNDI 31 JANVIER 2022,19,TIRAGE «ETOILE» NUMEROS MACHINE N°300,65,70,33,82
10,LUNDI 31 JANVIER 2022,21,TIRAGE «REVEIL» N°180,80,37,59,61
11,LUNDI 31 JANVIER 2022,70,TIRAGE «REVEIL» NUMEROS MACHINE N°180,10,63,60,03
