,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 14 MARS 2022,85,TIRAGE «REVEIL» N°186,17,87,11,09
1,LUNDI 14 MARS 2022,04,TIRAGE «REVEIL» NUMEROS MACHINE N°186,78,79,82,52
2,DIMANCHE 13 MARS 2022,12,TIRAGE «ESPOIR» N°203,04,75,76,07
3,DIMANCHE 13 MARS 2022,45,TIRAGE «ESPOIR» NUMEROS MACHINE N°203,78,74,18,23
4,DIMANCHE 13 MARS 2022,71,TIRAGE «AWALE» N°166,60,24,37,41
5,DIMANCHE 13 MARS 2022,79,TIRAGE «AWALE» NUMEROS MACHINE N°166,25,64,06,62
6,DIMANCHE 13 MARS 2022,13,TIRAGE «PRESTIGE» N°234,41,79,85,15
7,DIMANCHE 13 MARS 2022,42,TIRAGE «PRESTIGE» NUMEROS MACHINE N°234,75,40,14,09
8,DIMANCHE 13 MARS 2022,86,TIRAGE «BENEDICTION» N°186,48,13,62,40
9,DIMANCHE 13 MARS 2022,74,TIRAGE «BENEDICTION» NUMEROS MACHINE N°186,68,16,22,66
10,SAMEDI 12 MARS 2022,25,TIRAGE «SATURDAY NATIONAL » N°3099,28,84,32,66
11,SAMEDI 12 MARS 2022,69,TIRAGE « MOAYE » NUMEROS MACHINE N°166,59,24,01,87
