,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 29 SEPTEMBRE 2022,16,TIRAGE «PRIVILEGE» N°335,47,73,15,44
1,JEUDI 29 SEPTEMBRE 2022,71,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°335,18,63,50,67
2,JEUDI 29 SEPTEMBRE 2022,47,TIRAGE «KADO» N°213,06,14,69,73
3,JEUDI 29 SEPTEMBRE 2022,65,TIRAGE «KADO» NUMEROS MACHINE N°213,52,45,37,70
4,MERCREDI 28 SEPTEMBRE 2022,03,TIRAGE «BARAKA» N°195,07,16,90,17
5,MERCREDI 28 SEPTEMBRE 2022,36,TIRAGE «BARAKA» NUMEROS MACHINE N°195,40,30,38,83
6,MERCREDI 28 SEPTEMBRE 2022,22,TIRAGE «FORTUNE» N°743,42,12,79,41
7,MERCREDI 28 SEPTEMBRE 2022,59,TIRAGE «FORTUNE» NUMEROS MACHINE N°743,21,44,64,29
8,MERCREDI 28 SEPTEMBRE 2022,12,TIRAGE «PREMIERE HEURE» N°214,30,81,22,29
9,MERCREDI 28 SEPTEMBRE 2022,50,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°214,69,68,35,60
10,MERCREDI 28 SEPTEMBRE 2022,83,TIRAGE « MID WEEK » N°981,79,50,47,67
11,MARDI 27 SEPTEMBRE 2022,86,TIRAGE «SIKA» NUMEROS MACHINE N°195,56,34,27,20
