,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 12 MARS 2022,67,TIRAGE « SOUTRA» N°186,35,10,45,89
1,SAMEDI 12 MARS 2022,03,TIRAGE « SOUTRA» NUMEROS MACHINE N°186,25,43,21,83
2,VENDREDI 11 MARS 2022,27,TIRAGE « FRIDAY BONANZA» N° 728,81,30,73,88
3,VENDREDI 11 MARS 2022,51,TIRAGE « WARI » NUMEROS MACHINE N°166,14,12,75,08
4,VENDREDI 11 MARS 2022,05,TIRAGE « WARI » N°166,64,19,24,45
5,VENDREDI 11 MARS 2022,79,TIRAGE « SOLUTION » NUMEROS MACHINE N°306,73,19,15,35
6,VENDREDI 11 MARS 2022,48,TIRAGE « SOLUTION » N°306,28,77,32,85
7,VENDREDI 11 MARS 2022,58,TIRAGE «CASH» NUMEROS MACHINE N°186,13,51,59,79
8,VENDREDI 11 MARS 2022,33,TIRAGE «CASH» N°186,47,82,46,54
9,JEUDI 10 MARS 2022,04,TIRAGE «MONNI» NUMEROS MACHINE N°166,80,65,13,68
10,JEUDI 10 MARS 2022,46,TIRAGE «MONNI» N°166,41,11,07,02
11,JEUDI 10 MARS 2022,79,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°306,44,33,35,76
