,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 9 NOVEMBRE 2022,67,TIRAGE «BARAKA» N°201,87,90,54,20
1,MERCREDI 9 NOVEMBRE 2022,43,TIRAGE «BARAKA» NUMEROS MACHINE N°201,62,31,69,02
2,MERCREDI 9 NOVEMBRE 2022,63,TIRAGE «FORTUNE» N°749,64,11,28,39
3,MERCREDI 9 NOVEMBRE 2022,21,TIRAGE «FORTUNE» NUMEROS MACHINE N°749,18,87,51,31
4,MERCREDI 9 NOVEMBRE 2022,27,TIRAGE «PREMIERE HEURE» N°220,16,36,64,33
5,MERCREDI 9 NOVEMBRE 2022,15,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°220,48,38,71,19
6,MARDI 8 NOVEMBRE 2022,31,TIRAGE «SIKA» N°201,60,83,16,67
7,MARDI 8 NOVEMBRE 2022,52,TIRAGE «SIKA» NUMEROS MACHINE N°201,65,78,85,66
8,MARDI 8 NOVEMBRE 2022,58,TIRAGE « EMERGENCE » N°341,26,61,22,82
9,MARDI 8 NOVEMBRE 2022,63,TIRAGE « EMERGENCE » NUMEROS MACHINE N°341,77,18,20,02
10,MARDI 8 NOVEMBRE 2022,79,TIRAGE « LA MATINALE » N°220,39,27,35,72
11,MARDI 8 NOVEMBRE 2022,37,TIRAGE « LA MATINALE » NUMEROS MACHINE N°220,75,14,76,46
