,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 19 AVRIL 2022,49,TIRAGE «SIKA» N°172,89,51,80,48
1,MARDI 19 AVRIL 2022,50,TIRAGE «SIKA» NUMEROS MACHINE N°172,65,40,71,82
2,MARDI 19 AVRIL 2022,14,TIRAGE « EMERGENCE » N°312,77,59,58,06
3,MARDI 19 AVRIL 2022,19,TIRAGE « EMERGENCE » NUMEROS MACHINE N°312,87,89,51,33
4,MARDI 19 AVRIL 2022,86,TIRAGE « LA MATINALE » N°191,43,67,55,28
5,MARDI 19 AVRIL 2022,82,TIRAGE « LA MATINALE » NUMEROS MACHINE N°191,65,22,66,05
6,JEUDI 31 MARS 2022,78,TIRAGE « FORTUNE THURSDAY» N°759,89,30,34,79
7,JEUDI 31 MARS 2022,65,TIRAGE «MONNI» NUMEROS MACHINE N°169,37,47,88,23
8,JEUDI 31 MARS 2022,46,TIRAGE «MONNI» N°169,35,10,38,06
9,JEUDI 31 MARS 2022,48,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°309,71,09,61,16
10,JEUDI 31 MARS 2022,44,TIRAGE «PRIVILEGE» N°309,36,81,76,54
11,JEUDI 31 MARS 2022,05,TIRAGE «KADO» NUMEROS MACHINE N°187,27,02,73,24
