,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 27 SEPTEMBRE 2022,06,TIRAGE «SIKA» N°195,66,29,21,28
1,MARDI 27 SEPTEMBRE 2022,86,TIRAGE «SIKA» NUMEROS MACHINE N°195,56,34,27,20
2,MARDI 27 SEPTEMBRE 2022,81,TIRAGE « EMERGENCE » N°335,84,04,73,57
3,MARDI 27 SEPTEMBRE 2022,29,TIRAGE « EMERGENCE » NUMEROS MACHINE N°335,41,17,75,37
4,MARDI 27 SEPTEMBRE 2022,66,TIRAGE « LA MATINALE » N°214,40,48,57,01
5,MARDI 27 SEPTEMBRE 2022,55,TIRAGE « LA MATINALE » NUMEROS MACHINE N°214,17,25,54,38
6,LUNDI 26 SEPTEMBRE 2022,05,TIRAGE «AKWABA» N°195,70,50,30,07
7,LUNDI 26 SEPTEMBRE 2022,26,TIRAGE «AKWABA» NUMEROS MACHINE N°195,32,16,34,37
8,LUNDI 26 SEPTEMBRE 2022,05,TIRAGE «ETOILE» N°334,70,50,30,07
9,LUNDI 26 SEPTEMBRE 2022,26,TIRAGE «ETOILE» NUMEROS MACHINE N°334,32,16,34,37
10,LUNDI 26 SEPTEMBRE 2022,65,TIRAGE «REVEIL» N°214,66,11,37,19
11,LUNDI 26 SEPTEMBRE 2022,20,TIRAGE «REVEIL» NUMEROS MACHINE N°214,48,69,03,52
