,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 19 MARS 2022,66,TIRAGE « DIAMANT» N°716,68,21,28,62
1,SAMEDI 19 MARS 2022,26,TIRAGE « DIAMANT» NUMEROS MACHINE N°716,32,84,55,07
2,SAMEDI 19 MARS 2022,78,TIRAGE « SOUTRA» N°187,82,01,22,87
3,SAMEDI 19 MARS 2022,07,TIRAGE « SOUTRA» NUMEROS MACHINE N°187,79,58,71,51
4,VENDREDI 18 MARS 2022,50,TIRAGE « WARI » N°167,13,06,14,65
5,VENDREDI 18 MARS 2022,47,TIRAGE « WARI » NUMEROS MACHINE N°167,36,09,71,03
6,VENDREDI 18 MARS 2022,69,TIRAGE « SOLUTION » N°307,67,46,71,87
7,VENDREDI 18 MARS 2022,50,TIRAGE « SOLUTION » NUMEROS MACHINE N°307,47,24,10,21
8,VENDREDI 18 MARS 2022,66,TIRAGE «CASH» N°187,28,80,24,72
9,VENDREDI 18 MARS 2022,02,TIRAGE «CASH» NUMEROS MACHINE N°187,20,73,67,56
10,JEUDI 17 MARS 2022,35,TIRAGE « FORTUNE THURSDAY» N°757,52,44,37,65
11,JEUDI 17 MARS 2022,67,TIRAGE «MONNI» NUMEROS MACHINE N°167,27,19,10,62
