,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 5 FÉVRIER 2022,80,TIRAGE « SOUTRA» N°181,32,59,62,50
1,SAMEDI 5 FÉVRIER 2022,13,TIRAGE « SOUTRA» NUMEROS MACHINE N°181,24,74,67,65
2,VENDREDI 4 FÉVRIER 2022,47,TIRAGE « FRIDAY BONANZA» N° 723,08,32,12,77
3,VENDREDI 4 FÉVRIER 2022,22,TIRAGE « WARI » NUMEROS MACHINE N°161,14,77,58,60
4,VENDREDI 4 FÉVRIER 2022,34,TIRAGE « WARI » N°161,68,01,19,47
5,VENDREDI 4 FÉVRIER 2022,33,TIRAGE « SOLUTION » NUMEROS MACHINE N°301,18,27,04,22
6,VENDREDI 4 FÉVRIER 2022,67,TIRAGE « SOLUTION » N°301,63,58,31,19
7,VENDREDI 4 FÉVRIER 2022,16,TIRAGE «CASH» NUMEROS MACHINE N°181,33,46,09,22
8,VENDREDI 4 FÉVRIER 2022,05,TIRAGE «CASH» N°181,87,27,88,31
9,JEUDI 3 FÉVRIER 2022,84,TIRAGE «MONNI» NUMEROS MACHINE N°161,90,37,08,63
10,JEUDI 3 FÉVRIER 2022,29,TIRAGE «MONNI» N°161,14,33,25,81
11,JEUDI 3 FÉVRIER 2022,10,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°301,43,29,15,88
