,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 28 FÉVRIER 2022,42,TIRAGE «ETOILE» N°304,54,61,39,10
1,LUNDI 28 FÉVRIER 2022,68,TIRAGE «ETOILE» NUMEROS MACHINE N°304,76,89,56,38
2,LUNDI 28 FÉVRIER 2022,22,TIRAGE «REVEIL» N°184,51,52,09,75
3,LUNDI 28 FÉVRIER 2022,32,TIRAGE «REVEIL» NUMEROS MACHINE N°184,18,59,61,31
4,DIMANCHE 27 FÉVRIER 2022,46,TIRAGE «ESPOIR» N°201,51,62,16,60
5,DIMANCHE 27 FÉVRIER 2022,43,TIRAGE «ESPOIR» NUMEROS MACHINE N°201,25,26,58,08
6,DIMANCHE 27 FÉVRIER 2022,86,TIRAGE «AWALE» N°164,41,26,89,47
7,DIMANCHE 27 FÉVRIER 2022,04,DU TIRAGE «AWALE» NUMEROS MACHINE N°164,24,56,71,45
8,DIMANCHE 27 FÉVRIER 2022,17,TIRAGE «PRESTIGE» N°232,73,86,20,54
9,DIMANCHE 27 FÉVRIER 2022,40,TIRAGE «PRESTIGE» NUMEROS MACHINE N°232,89,22,72,82
10,DIMANCHE 27 FÉVRIER 2022,63,TIRAGE «BENEDICTION» N°184,49,76,13,68
11,DIMANCHE 27 FÉVRIER 2022,88,TIRAGE «BENEDICTION» NUMEROS MACHINE N°184,29,86,56,48
