,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 17 FÉVRIER 2022,23,TIRAGE «KADO» N°181,34,50,86,36
1,JEUDI 17 FÉVRIER 2022,90,TIRAGE «KADO» NUMEROS MACHINE N°181,81,39,69,32
2,MERCREDI 16 FÉVRIER 2022,85,TIRAGE « MID WEEK » N°950,80,07,22,11
3,MERCREDI 16 FÉVRIER 2022,21,TIRAGE «BARAKA» NUMEROS MACHINE N°163,10,28,65,19
4,MERCREDI 16 FÉVRIER 2022,18,TIRAGE «BARAKA» N°163,70,33,74,80
5,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
6,MERCREDI 16 FÉVRIER 2022,47,TIRAGE «FORTUNE» N°711,51,08,42,87
7,MERCREDI 16 FÉVRIER 2022,68,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°182,98,85,61,04
8,MERCREDI 16 FÉVRIER 2022,74,TIRAGE «PREMIERE HEURE» N°182,18,70,71,16
9,MARDI 15 FÉVRIER 2022,22,TIRAGE «SIKA» NUMEROS MACHINE N°163,29,50,61,39
10,MARDI 15 FÉVRIER 2022,32,TIRAGE «SIKA» N°163,11,28,30,81
11,MARDI 15 FÉVRIER 2022,60,TIRAGE « EMERGENCE » NUMEROS MACHINE N°303,48,70,76,65
