,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MARDI 7 JUIN 2022,36,TIRAGE «SIKA» N°179,60,52,14,72
1,MARDI 7 JUIN 2022,27,TIRAGE «SIKA» NUMEROS MACHINE N°179,75,04,70,33
2,MARDI 7 JUIN 2022,77,TIRAGE « EMERGENCE » N°319,63,16,13,53
3,MARDI 7 JUIN 2022,15,TIRAGE « EMERGENCE » NUMEROS MACHINE N°319,37,72,62,47
4,MARDI 7 JUIN 2022,07,TIRAGE « LA MATINALE » N°198,73,61,82,25
5,MARDI 7 JUIN 2022,70,TIRAGE « LA MATINALE » NUMEROS MACHINE N°198,15,39,76,11
6,LUNDI 6 JUIN 2022,72,TIRAGE «ETOILE» N°318,90,15,28,82
7,LUNDI 6 JUIN 2022,68,TIRAGE «ETOILE» NUMEROS MACHINE N°318,88,36,78,65
8,LUNDI 6 JUIN 2022,57,TIRAGE «REVEIL» N°198,84,50,63,54
9,LUNDI 6 JUIN 2022,66,TIRAGE «REVEIL» NUMEROS MACHINE N°198,28,88,06,36
10,DIMANCHE 5 JUIN 2022,33,TIRAGE «ESPOIR» N°215,74,24,84,07
11,DIMANCHE 5 JUIN 2022,06,TIRAGE «ESPOIR» NUMEROS MACHINE N°215,48,56,05,42
