,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 18 FÉVRIER 2022,13,TIRAGE «CASH» N°183,41,03,19,33
1,VENDREDI 18 FÉVRIER 2022,26,TIRAGE «CASH» NUMEROS MACHINE N°183,05,46,20,28
2,JEUDI 17 FÉVRIER 2022,64,TIRAGE « FORTUNE THURSDAY» N°753,87,90,18,32
3,JEUDI 17 FÉVRIER 2022,10,TIRAGE «MONNI» NUMEROS MACHINE N°163,29,37,40,70
4,JEUDI 17 FÉVRIER 2022,84,TIRAGE «MONNI» N°163,65,39,41,21
5,JEUDI 17 FÉVRIER 2022,76,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°303,47,25,40,01
6,JEUDI 17 FÉVRIER 2022,10,TIRAGE «PRIVILEGE» N°303,12,37,13,23
7,JEUDI 17 FÉVRIER 2022,90,TIRAGE «KADO» NUMEROS MACHINE N°181,81,39,69,32
8,JEUDI 17 FÉVRIER 2022,23,TIRAGE «KADO» N°181,34,50,86,36
9,MERCREDI 16 FÉVRIER 2022,21,TIRAGE «BARAKA» NUMEROS MACHINE N°163,10,28,65,19
10,MERCREDI 16 FÉVRIER 2022,85,TIRAGE « MID WEEK » N°950,80,07,22,11
11,MERCREDI 16 FÉVRIER 2022,76,TIRAGE «FORTUNE» NUMEROS MACHINE N°711,77,37,86,56
