,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 18 NOVEMBRE 2022,09,TIRAGE «CASH» N°222,64,38,37,04
1,VENDREDI 18 NOVEMBRE 2022,62,TIRAGE «CASH» NUMEROS MACHINE N°222,74,15,07,54
2,JEUDI 17 NOVEMBRE 2022,27,TIRAGE «MONNI» N°202,32,02,05,23
3,JEUDI 17 NOVEMBRE 2022,77,TIRAGE «MONNI» NUMEROS MACHINE N°202,45,67,75,24
4,JEUDI 17 NOVEMBRE 2022,38,TIRAGE «PRIVILEGE» N°342,11,90,24,65
5,JEUDI 17 NOVEMBRE 2022,32,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°342,62,48,27,63
6,JEUDI 17 NOVEMBRE 2022,22,TIRAGE «KADO» N°220,33,40,37,73
7,JEUDI 17 NOVEMBRE 2022,62,TIRAGE «KADO» NUMEROS MACHINE N°220,32,53,18,16
8,JEUDI 17 NOVEMBRE 2022,22,TIRAGE «KADO» N°220,33,40,37,73
9,JEUDI 17 NOVEMBRE 2022,62,TIRAGE «KADO» NUMEROS MACHINE N°220,32,53,18,16
10,MERCREDI 16 NOVEMBRE 2022,41,TIRAGE «BARAKA» N°202,14,24,25,28
11,MARDI 15 NOVEMBRE 2022,52,TIRAGE « LA MATINALE » NUMEROS MACHINE N°221,73,24,62,89
