,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 17 JUIN 2022,30,TIRAGE « WARI » N°180,61,45,86,39
1,VENDREDI 17 JUIN 2022,32,TIRAGE « WARI » NUMEROS MACHINE N°180,27,81,80,20
2,VENDREDI 17 JUIN 2022,80,TIRAGE « SOLUTION » N°320,33,56,38,50
3,VENDREDI 17 JUIN 2022,45,TIRAGE « SOLUTION » NUMEROS MACHINE N°320,70,83,43,55
4,VENDREDI 17 JUIN 2022,15,TIRAGE «CASH» N°200,11,44,47,50
5,VENDREDI 17 JUIN 2022,56,TIRAGE «CASH» NUMEROS MACHINE N°200,61,69,27,42
6,JEUDI 16 JUIN 2022,79,TIRAGE « FRIDAY BONANZA» N° 741,16,18,15,07
7,JEUDI 16 JUIN 2022,52,TIRAGE «MONNI» NUMEROS MACHINE N°180,40,10,46,48
8,JEUDI 16 JUIN 2022,74,TIRAGE «MONNI» N°180,66,56,86,58
9,JEUDI 16 JUIN 2022,60,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°320,59,47,57,77
10,JEUDI 16 JUIN 2022,71,TIRAGE «PRIVILEGE» N°320,40,34,26,73
11,JEUDI 16 JUIN 2022,12,TIRAGE «KADO» NUMEROS MACHINE N°198,43,18,62,86
