,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 6 NOVEMBRE 2022,86,TIRAGE «ESPOIR» N°237,62,07,41,70
1,DIMANCHE 6 NOVEMBRE 2022,63,TIRAGE «ESPOIR» NUMEROS MACHINE N°237,51,25,72,12
2,DIMANCHE 6 NOVEMBRE 2022,13,TIRAGE «AWALE» N°200,32,50,06,30
3,DIMANCHE 6 NOVEMBRE 2022,62,TIRAGE «AWALE» NUMEROS MACHINE N°200,84,02,49,08
4,DIMANCHE 6 NOVEMBRE 2022,67,TIRAGE «PRESTIGE» N°268,27,42,78,40
5,DIMANCHE 6 NOVEMBRE 2022,84,TIRAGE «PRESTIGE» NUMEROS MACHINE N°268,05,60,50,43
6,DIMANCHE 6 NOVEMBRE 2022,65,TIRAGE «BENEDICTION» N°220,89,02,67,57
7,DIMANCHE 6 NOVEMBRE 2022,26,TIRAGE «BENEDICTION» NUMEROS MACHINE N°220,82,15,29,70
8,SAMEDI 5 NOVEMBRE 2022,76,TIRAGE « DIAMANT» N°749,59,10,48,17
9,SAMEDI 5 NOVEMBRE 2022,44,TIRAGE « DIAMANT» NUMEROS MACHINE N°749,25,29,78,02
10,SAMEDI 5 NOVEMBRE 2022,45,TIRAGE « SOUTRA» N°220,88,07,49,67
11,SAMEDI 5 NOVEMBRE 2022,28,TIRAGE « SOUTRA» NUMEROS MACHINE N°220,12,61,52,68
