,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 13 NOVEMBRE 2022,24,TIRAGE «BENEDICTION» N°221,30,34,88,46
1,DIMANCHE 13 NOVEMBRE 2022,50,TIRAGE «BENEDICTION» NUMEROS MACHINE N°221,13,83,59,52
2,SAMEDI 12 NOVEMBRE 2022,46,TIRAGE « MOAYE » N°201,08,25,45,72
3,SAMEDI 12 NOVEMBRE 2022,20,TIRAGE « MOAYE » NUMEROS MACHINE N°201,36,33,58,55
4,SAMEDI 12 NOVEMBRE 2022,20,TIRAGE « DIAMANT» N°750,67,69,90,09
5,SAMEDI 12 NOVEMBRE 2022,25,TIRAGE « DIAMANT» NUMEROS MACHINE N°750,16,29,66,55
6,SAMEDI 12 NOVEMBRE 2022,27,TIRAGE « SOUTRA» N°221,78,07,85,61
7,SAMEDI 12 NOVEMBRE 2022,26,TIRAGE « SOUTRA» NUMEROS MACHINE N°221,75,06,86,58
8,SAMEDI 12 NOVEMBRE 2022,63,TIRAGE «SATURDAY NATIONAL » N°3134,05,43,77,64
9,VENDREDI 11 NOVEMBRE 2022,84,TIRAGE « SOLUTION » NUMEROS MACHINE N°341,54,39,61,22
10,VENDREDI 11 NOVEMBRE 2022,30,TIRAGE « SOLUTION » N°341,48,85,33,77
11,VENDREDI 11 NOVEMBRE 2022,54,TIRAGE «CASH» NUMEROS MACHINE N°221,46,61,21,87
