,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,DIMANCHE 8 MAI 2022,53,TIRAGE «PRESTIGE» N°242,88,82,50,70
1,DIMANCHE 8 MAI 2022,43,TIRAGE «PRESTIGE» NUMEROS MACHINE N°242,73,35,74,27
2,DIMANCHE 8 MAI 2022,82,TIRAGE «BENEDICTION» N°194,83,25,05,01
3,DIMANCHE 8 MAI 2022,13,TIRAGE «BENEDICTION» NUMEROS MACHINE N°194,44,76,31,89
4,SAMEDI 7 MAI 2022,50,TIRAGE «SATURDAY NATIONAL » N°3107,49,07,26,01
5,SAMEDI 7 MAI 2022,55,TIRAGE « MOAYE » NUMEROS MACHINE N°174,19,49,60,90
6,SAMEDI 7 MAI 2022,84,TIRAGE « MOAYE » N°174,29,88,36,18
7,SAMEDI 7 MAI 2022,51,TIRAGE « DIAMANT» NUMEROS MACHINE N°723,12,06,84,33
8,SAMEDI 7 MAI 2022,62,TIRAGE « DIAMANT» N°723,60,09,82,67
9,SAMEDI 7 MAI 2022,84,TIRAGE « SOUTRA» NUMEROS MACHINE N°194,28,20,19,23
10,SAMEDI 7 MAI 2022,90,TIRAGE « SOUTRA» N°194,59,86,15,12
11,VENDREDI 6 MAI 2022,82,TIRAGE « WARI » NUMEROS MACHINE N°174,55,39,61,56
