,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,MERCREDI 13 JUILLET 2022,89,TIRAGE «FORTUNE» N°732,94,43,90,07
1,MERCREDI 13 JUILLET 2022,38,TIRAGE «FORTUNE» NUMEROS MACHINE N°732,75,80,65,27
2,MERCREDI 13 JUILLET 2022,80,TIRAGE « LA MATINALE » N°203,75,48,86,16
3,MERCREDI 13 JUILLET 2022,31,TIRAGE « LA MATINALE » NUMEROS MACHINE N°203,41,13,14,03
4,MARDI 12 JUILLET 2022,80,TIRAGE «SIKA» N°184,03,08,09,06
5,MARDI 12 JUILLET 2022,14,TIRAGE «SIKA» NUMEROS MACHINE N°184,30,26,24,46
6,MARDI 12 JUILLET 2022,68,TIRAGE « EMERGENCE » N°324,10,48,29,71
7,MARDI 12 JUILLET 2022,72,TIRAGE « EMERGENCE » NUMEROS MACHINE N°324,56,03,24,64
8,MARDI 12 JUILLET 2022,80,TIRAGE « LA MATINALE » N°203,75,48,86,16
9,MARDI 12 JUILLET 2022,31,TIRAGE « LA MATINALE » NUMEROS MACHINE N°203,41,13,14,03
10,MARDI 12 JUILLET 2022,06,TIRAGE « LUCKY TUESDAY » N°773,90,27,75,77
11,LUNDI 11 JUILLET 2022,79,TIRAGE «AKWABA» NUMEROS MACHINE N°184,69,56,58,60
