,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 1 AOÛT 2022,27,TIRAGE «ETOILE» N°326,90,77,24,14
1,LUNDI 1 AOÛT 2022,36,TIRAGE «ETOILE» NUMEROS MACHINE N°326,82,23,29,16
2,LUNDI 1 AOÛT 2022,61,TIRAGE «REVEIL» N°206,17,32,21,37
3,LUNDI 1 AOÛT 2022,46,TIRAGE «REVEIL» NUMEROS MACHINE N°206,16,71,75,88
4,DIMANCHE 31 JUILLET 2022,54,TIRAGE «AWALE» N°186,29,06,30,43
5,DIMANCHE 31 JUILLET 2022,18,TIRAGE «AWALE» NUMEROS MACHINE N°186,46,57,31,12
6,DIMANCHE 31 JUILLET 2022,31,TIRAGE «PRESTIGE» N°254,01,30,09,19
7,DIMANCHE 31 JUILLET 2022,26,TIRAGE «PRESTIGE» N°254,36,62,04,21
8,DIMANCHE 31 JUILLET 2022,03,TIRAGE «BENEDICTION» N°204,89,66,73,26
9,DIMANCHE 31 JUILLET 2022,75,TIRAGE «BENEDICTION» N°204,11,81,58,36
10,SAMEDI 30 JUILLET 2022,24,TIRAGE « MOAYE » N°186,37,77,25,05
11,SAMEDI 30 JUILLET 2022,33,TIRAGE « MOAYE » NUMEROS MACHINE N°186,10,74,62,18
