,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,JEUDI 28 AVRIL 2022,55,TIRAGE «KADO» N°191,86,11,57,20
1,JEUDI 28 AVRIL 2022,48,TIRAGE «KADO» NUMEROS MACHINE N°191,25,15,35,36
2,MERCREDI 27 AVRIL 2022,42,TIRAGE « MID WEEK » N°960,60,17,69,15
3,MERCREDI 27 AVRIL 2022,51,TIRAGE «BARAKA» NUMEROS MACHINE N°173,28,03,17,02
4,MERCREDI 27 AVRIL 2022,78,TIRAGE «BARAKA» N°173,49,55,57,47
5,MERCREDI 27 AVRIL 2022,26,TIRAGE «FORTUNE» NUMEROS MACHINE N°721,77,40,69,14
6,MERCREDI 27 AVRIL 2022,02,TIRAGE «FORTUNE» N°721,83,30,43,78
7,MERCREDI 27 AVRIL 2022,45,TIRAGE «PREMIERE HEURE» NUMEROS MACHINE N°192,16,31,14,10
8,MERCREDI 27 AVRIL 2022,64,TIRAGE «PREMIERE HEURE» N°192,80,55,44,83
9,MARDI 26 AVRIL 2022,42,TIRAGE «SIKA» NUMEROS MACHINE N°173,83,31,41,34
10,MARDI 26 AVRIL 2022,61,TIRAGE «SIKA» N°173,10,07,68,40
11,MARDI 26 AVRIL 2022,50,TIRAGE « EMERGENCE » NUMEROS MACHINE N°313,35,18,51,24
