,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,LUNDI 26 DÉCEMBRE 2022,25,TIRAGE «SPECIAL DAY OFF» N°33,68,13,09,30
1,LUNDI 26 DÉCEMBRE 2022,26,TIRAGE «SPECIAL DAY OFF» NUMEROS MACHINE N°33,79,76,81,36
2,LUNDI 26 DÉCEMBRE 2022,19,TIRAGE «AKWABA» N°208,46,01,56,04
3,LUNDI 26 DÉCEMBRE 2022,20,TIRAGE «AKWABA» NUMEROS MACHINE N°208,57,29,61,50
4,LUNDI 26 DÉCEMBRE 2022,80,TIRAGE «ETOILE» N°347,84,17,27,61
5,LUNDI 26 DÉCEMBRE 2022,54,TIRAGE «ETOILE» NUMEROS MACHINE N°347,07,23,77,31
6,LUNDI 26 DÉCEMBRE 2022,70,TIRAGE «REVEIL» N°227,79,15,19,59
7,LUNDI 26 DÉCEMBRE 2022,68,TIRAGE «REVEIL» NUMEROS MACHINE N°227,60,58,86,04
8,DIMANCHE 25 DÉCEMBRE 2022,15,TIRAGE «ESPOIR» N°244,24,42,41,38
9,DIMANCHE 25 DÉCEMBRE 2022,54,TIRAGE «ESPOIR» NUMEROS MACHINE N°244,85,27,72,86
10,DIMANCHE 25 DÉCEMBRE 2022,78,TIRAGE «AWALE» N°207,20,85,04,73
11,DIMANCHE 25 DÉCEMBRE 2022,62,TIRAGE «AWALE» NUMEROS MACHINE N°207,17,90,86,15
