,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,VENDREDI 13 MAI 2022,08,TIRAGE « WARI » N°175,46,14,58,59
1,VENDREDI 13 MAI 2022,38,TIRAGE « WARI » NUMEROS MACHINE N°175,84,03,71,50
2,VENDREDI 13 MAI 2022,41,TIRAGE « SOLUTION » N°315,34,01,48,28
3,VENDREDI 13 MAI 2022,61,TIRAGE « SOLUTION » NUMEROS MACHINE N°315,83,20,81,69
4,VENDREDI 13 MAI 2022,35,TIRAGE «CASH» N°195,49,06,31,66
5,VENDREDI 13 MAI 2022,80,TIRAGE «CASH» NUMEROS MACHINE N°195,30,52,17,63
6,JEUDI 12 MAI 2022,01,TIRAGE « FORTUNE THURSDAY» N°765,40,57,55,33
7,JEUDI 12 MAI 2022,44,TIRAGE «MONNI» NUMEROS MACHINE N°175,24,49,27,60
8,JEUDI 12 MAI 2022,09,TIRAGE «MONNI» N°175,52,85,17,42
9,JEUDI 12 MAI 2022,27,TIRAGE «PRIVILEGE» NUMEROS MACHINE N°315,10,05,78,55
10,JEUDI 12 MAI 2022,66,TIRAGE «PRIVILEGE» N°315,01,48,29,53
11,JEUDI 12 MAI 2022,89,TIRAGE «KADO» NUMEROS MACHINE N°193,06,07,10,54
