,play_days,First_number,Type_of_game,lott_no2,lott_no3,lott_no4,lott_no5
0,SAMEDI 26 FÉVRIER 2022,32,TIRAGE « DIAMANT» N°713,34,81,26,50
1,SAMEDI 26 FÉVRIER 2022,15,TIRAGE « DIAMANT» NUMEROS MACHINE N°713,87,85,80,79
2,SAMEDI 26 FÉVRIER 2022,67,TIRAGE « SOUTRA» N°184,86,01,41,54
3,SAMEDI 26 FÉVRIER 2022,77,TIRAGE « SOUTRA» NUMEROS MACHINE N°184,17,16,38,51
4,VENDREDI 25 FÉVRIER 2022,87,TIRAGE « FRIDAY BONANZA» N° 726,07,08,14,30
5,VENDREDI 25 FÉVRIER 2022,71,TIRAGE « WARI » NUMEROS MACHINE N°164,49,89,21,22
6,VENDREDI 25 FÉVRIER 2022,23,TIRAGE « WARI » N°164,78,67,69,37
7,VENDREDI 25 FÉVRIER 2022,57,TIRAGE « SOLUTION » NUMEROS MACHINE N°304,85,32,44,52
8,VENDREDI 25 FÉVRIER 2022,84,TIRAGE « SOLUTION » N°304,31,53,05,15
9,VENDREDI 25 FÉVRIER 2022,35,TIRAGE «CASH» NUMEROS MACHINE N°184,28,86,45,66
10,VENDREDI 25 FÉVRIER 2022,77,TIRAGE «CASH» N°184,36,03,60,51
11,JEUDI 24 FÉVRIER 2022,71,TIRAGE «MONNI» NUMEROS MACHINE N°163,16,80,55,75
